"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"100",0,0,52,10,0,0,0,0
"200",0,0,32,5,0,0,0,0
"300",0,0,58,36,0,0,0,0
"400",0,0,326,813,0,0,0,0
"500",0,0,171,525,0,0,0,0
"600",0,0,292,368,0,0,0,0
"700",0,0,316,725,0,0,0,0
"800",0,0,730,710,0,0,1250,250
"900",0,0,484,1183,0,0,0,0
"1000",-1,0,1356,2343,0,0,1500,2000
"1100",0,-8,2237,2057,0,0,0,0
"1200",0,-22,1947,2487,-1600,0,250,1000
"1300",-300,-25,1754,2101,-2600,0,1625,500
"1400",-242,-939,976,2390,-1850,0,500,8000
"1500",-307,-184,1898,1882,-250,-4900,0,5000
"1600",-1806,-1440,1157,1164,-25350,-8768,2500,6060
"1700",-1361,-1306,349,1192,0,-3810,0,1000
"1800",-1785,-1609,92,1002,-1000,-5565,0,1000
"1900",-8160,-2112,0,49,-850,-26884,0,0
"2000",-14158,-5015,6,3,-6750,-7363,0,0
"2100",-1747,-1561,0,2,-4156,0,0,0
"2200",-2646,-2439,0,0,-11483,-23600,0,0
"2300",-1064,-924,0,0,-5600,-250,0,0
"2400",-1150,-1526,0,0,-7110,-500,0,0
"2500",-1421,-2205,34,6,-7615,-1100,0,0
"2600",-1457,-675,0,0,-1000,-500,0,0
"3000",-2732,-2872,0,0,-6759,-5000,0,0
"3500",-858,-1450,0,0,-250,-7625,0,0
"4000",-1028,-1130,0,0,-375,-2000,0,0
"4500",-166,-431,0,0,0,0,0,0
"5000",-909,-202,0,0,0,0,0,0
"5500",-54,-447,0,0,0,0,0,0
"6000",-37,-741,0,0,0,0,0,0
"6500",-123,-232,0,0,0,0,0,0
