"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"100",0,0,50,10,0,0,0,0
"200",0,0,30,0,0,0,0,0
"300",0,0,0,30,0,0,0,0
"500",0,0,0,51,0,0,0,0
"600",0,0,6,1,0,0,0,0
"700",0,0,103,1,0,0,0,0
"800",0,0,159,113,0,0,0,0
"900",0,0,122,80,0,0,0,0
"1000",0,0,337,530,0,0,0,0
"1100",0,-1,216,140,0,0,0,0
"1200",0,-6,627,783,0,0,0,0
"1300",0,0,702,1024,-1000,0,1500,500
"1400",-102,-80,277,669,0,0,500,2500
"1500",-4,-83,1121,1157,0,-3650,0,1250
"1600",-1390,-883,516,442,-23850,-1000,1000,1750
"1700",-322,-603,168,1061,0,-2500,0,0
"1800",-284,-409,90,1001,-1000,-3790,0,0
"1900",-5069,-1030,0,6,-600,-24851,0,0
"2000",-1068,-892,0,0,-250,-750,0,0
"2100",-286,-479,0,0,-125,0,0,0
"2200",-766,-413,0,0,-3500,-23100,0,0
"2300",-333,-329,0,0,-5250,0,0,0
"2400",-546,-441,0,0,-500,0,0,0
"2500",-300,-348,34,6,-2165,-500,0,0
"2600",-155,-375,0,0,-1000,0,0,0
"3000",-983,-1080,0,0,-125,0,0,0
"3500",-213,-345,0,0,0,0,0,0
"4000",-427,-136,0,0,-250,0,0,0
"4500",-33,-398,0,0,0,0,0,0
"5000",-7,-9,0,0,0,0,0,0
"5500",-16,-190,0,0,0,0,0,0
"6000",-25,-419,0,0,0,0,0,0
"6500",-19,0,0,0,0,0,0,0
