"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"300",0,0,50,0,0,0,0,0
"400",0,0,0,15,0,0,0,0
"500",0,0,265,201,0,0,0,0
"600",0,0,10,120,0,0,0,0
"700",0,0,567,75,0,0,0,0
"800",0,0,223,168,0,0,0,0
"900",0,0,730,239,0,0,0,0
"1000",0,0,1285,659,0,0,0,125
"1100",0,0,1085,1220,0,0,1800,0
"1200",-125,-141,5760,2929,0,0,2900,3668
"1300",-6,-39,4969,2725,0,0,15250,0
"1400",-404,-752,3759,3661,0,0,0,0
"1500",-1684,-1665,2135,4788,-2150,-3500,3750,11500
"1600",-1837,-4428,2535,3715,-1250,-3562,4000,500
"1700",-34278,-6936,2547,1619,-5363,-2887,2500,575
"1800",-17110,-5713,2595,725,-23768,-18629,0,0
"1900",-3078,-3307,901,344,-1750,-500,0,0
"2000",-5478,-5230,0,0,-6500,-4750,0,0
"2100",-2109,-1192,0,0,-9354,-168,0,0
"2200",-2540,-1394,0,0,-27725,0,0,0
"2300",-550,-1023,0,0,-125,0,0,0
"2400",-1622,-374,0,0,0,-250,0,0
"2500",-385,-607,0,28,-600,0,0,0
"2600",-393,-479,0,0,0,0,0,0
"2800",-260,-394,0,0,0,0,0,0
"3000",-158,-831,0,28,-1000,0,0,0
"3200",-95,-185,0,0,0,0,0,0
"3400",-55,-118,0,0,0,0,0,0
"3500",-176,0,0,0,0,0,0,0
"4000",-1,-355,0,0,0,0,0,0
"4500",-458,-524,0,0,0,0,0,0
"5000",-1,-1350,2,1,0,0,0,0
"5500",-300,-1410,0,0,0,0,0,0
"6000",-150,-700,0,0,0,0,0,0
"6500",-150,-410,0,0,0,0,0,0
"7000",-630,-430,0,0,0,0,0,0
"8000",-1594,-196,0,0,0,0,0,0
"9000",-50,0,0,0,0,0,0,0
"10000",-40,0,0,0,0,0,0,0
