"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"200",-1,0,0,0,0,-1,0,0
"300",0,0,50,25,0,0,0,0
"400",-1,-10,193,216,0,0,0,0
"500",0,0,908,555,0,0,0,0
"600",-20,-20,174,1254,0,0,0,0
"700",0,0,1019,668,0,0,0,0
"800",0,0,2253,1316,0,0,0,0
"900",0,0,3200,1206,0,0,0,250
"1000",-10,-100,6623,3699,0,0,1838,1000
"1100",0,-104,5168,5321,0,0,6800,4245
"1200",-2096,-149,14716,10661,0,0,17400,5918
"1300",-616,-456,9885,8946,-112,-415,18883,1582
"1400",-739,-1034,8294,9533,0,-125,375,6400
"1500",-3896,-3454,8217,11036,-4151,-5750,5751,14750
"1600",-7610,-10446,5640,8263,-5647,-15655,6250,14320
"1700",-42877,-10975,5376,3682,-20298,-5287,4150,575
"1800",-46937,-12844,2545,869,-31031,-23579,0,0
"1900",-7097,-7637,877,312,-7500,-4125,0,500
"2000",-14874,-15091,18,2,-19708,-6250,0,0
"2100",-6545,-9099,0,30,-21689,-2293,0,0
"2200",-6345,-5064,32,3,-28725,-8900,0,0
"2300",-2810,-6403,0,0,-4125,-5000,0,0
"2400",-4834,-6694,1,0,-10500,-2281,0,0
"2500",-2053,-3402,27,30,-2800,-1600,0,0
"2600",-3520,-5361,0,0,-11398,-14580,0,0
"2800",-1772,-3093,0,0,-57,0,0,0
"3000",-2854,-2906,0,28,-2250,-5777,0,0
"3200",-619,-2313,0,0,0,0,0,0
"3400",-431,-559,0,0,0,0,0,0
"3500",-884,-1019,0,0,0,-1500,0,0
"4000",-325,-1123,0,0,-250,0,0,0
"4500",-499,-624,0,0,0,0,0,0
"5000",-126,-2097,0,0,-5145,0,0,0
"5500",-315,-4617,0,0,0,-125,0,0
"6000",-800,-3032,0,0,0,0,0,0
"6500",-1775,-1577,0,0,0,0,0,0
"7000",-1124,-767,0,0,0,0,0,0
"8000",-3897,-2557,0,0,0,0,0,0
"9000",-151,0,0,0,0,0,0,0
"10000",-1065,-236,0,0,0,0,0,0
"20000",-35,-65,0,0,0,0,0,0
"25000",-79,0,0,0,0,0,0,0
"30000",-431,0,0,0,0,0,0,0
