"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"200",0,0,325,23,0,0,0,0
"300",0,0,688,2,0,0,0,0
"400",0,0,64,1509,0,0,500,0
"500",0,0,60,5,0,0,0,0
"600",0,0,66,143,0,0,875,0
"700",0,0,93,162,0,0,0,0
"800",0,0,198,283,0,0,0,20
"900",0,0,582,1102,0,0,19,0
"1000",0,0,453,807,0,0,153,0
"1100",0,-1,1816,1341,0,-219,0,10
"1200",-3,-2,112,308,0,0,2570,2500
"1300",0,0,212,670,0,0,54,0
"1400",-65,-13,2618,674,-60,0,0,508
"1500",-167,-140,642,319,-312,0,0,24
"1600",-503,-159,324,228,-260,-6375,14,2375
"1700",-643,-454,48,13,-1250,-250,0,250
"1800",-2079,-977,26,5,-1500,-6280,0,0
"1900",-5088,-960,0,70,-1000,-107672,0,0
"2000",-13684,-3631,31,31,-23525,-14950,0,2
"2200",-2531,-1999,0,0,-11,0,0,0
"2500",-3647,-2612,0,0,-1677,-1500,0,0
"3000",-1638,-1916,28,0,-12625,-750,0,0
"3500",-978,-705,0,0,-375,-632,0,0
"4000",-217,-457,0,0,-1000,0,0,0
"4500",-123,-550,0,0,0,0,0,0
"5000",-19,-132,0,0,0,0,0,0
"5500",-621,-303,0,0,0,0,0,0
