"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"100",0,0,55,10,0,0,0,0
"200",0,0,64,178,0,0,0,0
"300",0,0,0,105,0,0,0,0
"400",0,0,859,291,0,0,0,0
"500",0,0,448,574,0,0,0,0
"600",0,0,434,187,0,0,0,0
"700",0,0,422,442,0,0,0,0
"800",0,0,643,652,0,0,177,0
"900",0,0,1903,2252,0,0,183,1500
"1000",0,0,1549,1605,0,0,12000,84
"1100",-107,-3,2132,861,0,0,409,500
"1200",-114,-6,3025,3142,0,-1009,500,2045
"1300",-100,0,1650,2828,-1500,0,8600,1857
"1400",-158,-134,2040,2246,-500,-236,1250,12571
"1500",-501,-487,2596,2667,-796,-6809,1767,6250
"1600",-2340,-1776,1867,1506,-46090,-15044,1765,3152
"1700",-1994,-1663,889,1804,-250,-7709,0,593
"1800",-1095,-2006,424,1264,-2000,-18603,0,14
"1900",-5845,-2746,0,46,-2800,-27550,0,49
"2000",-6038,-8587,920,90,-23190,-4467,0,0
"2100",-1347,-2317,0,0,-7563,-21500,0,0
"2200",-1534,-3955,0,0,-9842,-23725,0,0
"2300",-819,-582,0,0,-6450,0,0,0
"2400",-929,-1208,0,0,-4541,-5750,0,0
"2500",-1270,-2820,34,6,-3920,-11250,0,0
"2600",-1142,-1169,0,0,-1361,-250,0,0
"3000",-1850,-2631,0,0,-1805,-5030,0,0
"3500",-1440,-1395,0,0,-34089,0,0,0
"4000",-1689,-544,0,0,-251,0,0,0
"4500",-295,-498,0,0,0,0,0,0
"5000",-644,-268,4,0,0,0,0,0
"5500",-43,-233,0,0,0,0,0,0
"6000",-30,-424,0,0,0,0,0,0
"6500",-20,-324,0,0,0,0,0,0
