"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"200",-1,0,0,0,0,-1,0,0
"300",0,0,50,25,0,0,0,0
"400",-1,-10,33,152,0,0,0,0
"500",0,0,908,521,0,0,0,0
"600",-20,-20,49,1232,0,0,0,0
"700",0,0,714,668,0,0,0,0
"800",0,0,2244,1299,0,0,0,0
"900",0,0,3115,1172,0,0,0,250
"1000",-10,0,6613,3651,0,0,1838,1000
"1100",0,-4,5349,5229,0,0,6800,4245
"1200",-2094,-149,14143,8726,0,0,17400,5918
"1300",-116,-445,8901,9171,-112,-415,18883,1082
"1400",-666,-1094,7821,9703,0,-125,375,6400
"1500",-3393,-3412,8058,11059,-4151,-5250,5751,14750
"1600",-6870,-10372,6243,8648,-5432,-16870,5750,14320
"1700",-42698,-11543,5035,3554,-20298,-5287,4150,575
"1800",-46929,-13153,2603,868,-28531,-22379,0,0
"1900",-7222,-7709,902,357,-7500,-4125,0,500
"2000",-13528,-14633,16,2,-19708,-7250,0,0
"2100",-6575,-9542,0,20,-16689,-2293,0,0
"2200",-5101,-5363,32,3,-28725,-3900,0,0
"2300",-2659,-5691,0,0,-4125,-5000,0,0
"2400",-5621,-7067,1,0,-7500,-1781,0,0
"2500",-2066,-3205,27,30,-1600,-600,0,0
"2600",-3548,-5439,0,0,-10260,-13192,0,0
"2800",-1699,-2918,0,0,-57,0,0,0
"3000",-2355,-2945,0,28,-2250,-5777,0,0
"3200",-770,-2312,0,0,0,0,0,0
"3400",-436,-569,0,0,0,0,0,0
"3500",-733,-1039,0,0,0,-1500,0,0
"4000",-270,-1035,0,0,-250,0,0,0
"4500",-462,-1024,0,0,0,0,0,0
"5000",-838,-2523,2,1,-5145,0,0,0
"5500",-2461,-5336,0,0,0,-125,0,0
"6000",-800,-3032,0,0,0,0,0,0
"6500",-1775,-1577,0,0,0,0,0,0
"7000",-1124,-767,0,0,0,0,0,0
"8000",-3897,-2557,0,0,0,0,0,0
"9000",-151,0,0,0,0,0,0,0
"10000",-1065,-236,0,0,0,0,0,0
"20000",-35,-65,0,0,0,0,0,0
"25000",-79,0,0,0,0,0,0,0
"30000",-431,0,0,0,0,0,0,0
