"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"300",0,0,203,0,0,0,0,0
"400",0,0,2,98,0,0,250,0
"500",0,0,14,0,0,0,0,0
"600",0,0,19,101,0,0,0,0
"700",0,0,41,23,0,0,0,0
"800",0,0,37,71,0,0,0,0
"900",0,0,511,297,0,0,0,0
"1000",0,0,71,22,0,0,0,0
"1100",0,0,154,137,0,0,0,0
"1200",0,0,13,37,0,0,2500,2500
"1300",0,0,12,312,0,0,0,0
"1400",-54,-7,1013,30,0,0,0,250
"1500",-15,-135,339,150,0,0,0,0
"1600",-483,-141,0,9,0,-1500,0,0
"1700",-248,-356,11,0,0,0,0,0
"1800",-622,-308,0,0,0,-2000,0,0
"1900",-4747,-830,0,0,-1000,-107648,0,0
"2000",-1645,-1125,0,8,0,-1950,0,0
"2200",-283,-478,0,0,0,0,0,0
"2500",-341,-746,0,0,0,0,0,0
"3000",-35,-32,0,0,-2000,0,0,0
"3500",-276,-237,0,0,0,0,0,0
"4000",-26,-216,0,0,-1000,0,0,0
"4500",-24,-20,0,0,0,0,0,0
"5000",0,-27,0,0,0,0,0,0
"5500",-302,-17,0,0,0,0,0,0
