"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"400",0,0,206,2,0,0,0,0
"500",0,0,247,170,0,0,0,0
"600",0,0,98,69,0,0,0,0
"700",0,0,98,150,0,0,0,0
"800",0,0,420,344,0,0,0,0
"900",0,0,735,1776,0,0,0,500
"1000",0,0,423,564,0,0,3000,0
"1100",-102,0,370,285,0,0,0,0
"1200",-114,0,1035,900,0,-500,0,500
"1300",-100,0,486,508,0,0,4500,0
"1400",-15,-43,532,599,-500,0,500,1000
"1500",-84,-142,362,635,-250,-2892,1017,3500
"1600",-440,-466,845,508,-265,-13265,265,765
"1700",-658,-553,144,158,-250,-4500,0,0
"1800",-299,-699,0,0,0,-8000,0,0
"1900",-136,-158,0,0,0,-1000,0,0
"2000",-1050,-1782,8,0,-17390,0,0,0
"2100",-374,-729,0,0,-6940,0,0,0
"2200",-369,-3121,0,0,-1000,-625,0,0
"2300",-244,-20,0,0,0,0,0,0
"2400",-37,-95,0,0,0,-4000,0,0
"2500",-233,-491,0,0,-500,-250,0,0
"2600",-490,-516,0,0,-250,-250,0,0
"3000",-530,-398,0,0,0,0,0,0
"3500",-58,-121,0,0,-1500,0,0,0
"4000",-1,-41,0,0,0,0,0,0
"4500",-1,0,0,0,0,0,0,0
"5000",-1,-44,3,0,0,0,0,0
"5500",-1,0,0,0,0,0,0,0
"6000",0,-2,0,0,0,0,0,0
