"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"400",0,0,0,15,0,0,0,0
"600",0,0,10,20,0,0,0,0
"700",0,0,294,210,0,0,0,0
"800",0,0,120,167,0,0,0,0
"900",0,0,353,54,0,0,0,0
"1000",0,0,335,484,0,0,0,125
"1100",0,0,934,703,0,0,0,0
"1200",-125,-100,4461,2260,0,0,0,3084
"1300",0,-35,3200,1902,0,0,0,0
"1400",-63,-223,3269,3724,0,0,1000,0
"1500",-933,-514,2562,4599,-250,-2000,3250,10750
"1600",-910,-2198,3025,3337,-1285,-3777,4000,500
"1700",-7643,-3588,2805,1295,-4200,-2200,2500,575
"1800",-17178,-5575,2756,902,-84,-8879,0,0
"1900",-3171,-3396,1070,347,-1750,-500,0,0
"2000",-4841,-4256,0,0,-5875,-5750,0,0
"2100",-1856,-1704,0,0,-8454,-84,0,0
"2200",-2822,-1545,0,0,-25925,0,0,0
"2300",-723,-724,0,0,-125,-375,0,0
"2400",-2535,-721,0,0,0,-1500,0,0
"2500",-330,-165,0,28,-600,0,0,0
"2600",-145,-237,0,0,0,0,0,0
"2800",-222,-115,0,0,0,0,0,0
"3000",-627,-516,0,28,-1000,0,0,0
"3200",-246,-53,0,0,0,0,0,0
"3400",-60,-28,0,0,0,0,0,0
"3500",-26,-20,0,0,0,0,0,0
"4000",-1,-80,0,0,0,0,0,0
"4500",0,-424,0,0,0,0,0,0
"5000",-725,-576,2,1,0,0,0,0
"5500",-2152,-719,0,0,0,0,0,0
"6000",0,0,0,0,0,-1030,0,0
"7000",0,0,0,0,-530,0,0,0
"8000",0,0,0,0,-350,0,0,0
"10000",0,0,0,0,-150,0,0,0
