"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"200",0,0,165,3,0,0,0,0
"300",0,0,621,2,0,0,0,0
"400",0,0,64,1309,0,0,500,0
"500",0,0,60,5,0,0,0,0
"600",0,0,67,143,0,0,875,0
"700",0,0,93,139,0,0,0,0
"800",0,0,92,366,0,0,0,20
"900",0,0,582,1114,0,0,19,0
"1000",0,0,327,701,0,0,153,0
"1100",0,-1,1769,1320,0,-219,0,10
"1200",-1,-2,111,284,0,0,2570,2500
"1300",0,0,222,628,0,0,54,0
"1400",-65,-13,2610,595,-60,0,0,508
"1500",-167,-140,629,289,-312,0,0,24
"1600",-503,-159,269,228,-260,-6375,14,2375
"1700",-643,-451,40,13,-1250,-250,0,250
"1800",-1984,-720,25,5,-1500,-6280,0,0
"1900",-4952,-936,0,70,-1000,-107672,0,0
"2000",-13616,-3408,31,31,-23525,-14950,0,2
"2200",-2488,-1807,0,0,-11,0,0,0
"2500",-3372,-2543,0,0,-1677,-1500,0,0
"3000",-1638,-1597,28,0,-12625,-750,0,0
"3500",-859,-705,0,0,-375,-632,0,0
"4000",-116,-457,0,0,-1000,0,0,0
"4500",-123,-522,0,0,0,0,0,0
"5000",-19,-132,0,0,0,0,0,0
"5500",-571,-303,0,0,0,0,0,0
