"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"100",0,0,52,10,0,0,0,0
"200",0,0,32,5,0,0,0,0
"300",0,0,58,36,0,0,0,0
"400",0,0,326,813,0,0,0,0
"500",0,0,171,525,0,0,0,0
"600",0,0,292,368,0,0,0,0
"700",0,0,316,716,0,0,0,0
"800",0,0,730,711,0,0,1250,250
"900",0,0,469,1185,0,0,0,0
"1000",0,0,1346,2325,0,0,1500,2000
"1100",0,-8,2245,1882,0,0,0,0
"1200",0,-6,1946,2438,-1600,0,250,1000
"1300",-300,-25,1767,2102,-2600,0,1625,500
"1400",-242,-939,976,2399,-1850,0,500,11500
"1500",-307,-184,1878,1882,-250,-4900,0,5000
"1600",-1794,-1440,1156,1164,-25350,-8768,2500,6060
"1700",-1441,-1332,395,1210,0,-3810,0,1000
"1800",-1773,-1589,92,1002,-2000,-5565,0,1000
"1900",-8225,-2101,0,49,-850,-26884,0,0
"2000",-14196,-4999,6,3,-6750,-7363,0,0
"2100",-1708,-1571,0,2,-4156,0,0,0
"2200",-2550,-2510,0,0,-14983,-23600,0,0
"2300",-1089,-920,0,0,-5600,-250,0,0
"2400",-1186,-1522,0,0,-7110,-500,0,0
"2500",-1448,-2184,34,6,-7615,-1100,0,0
"2600",-1554,-670,0,0,-1000,-500,0,0
"3000",-2668,-2581,0,0,-6759,-5000,0,0
"3500",-858,-1466,0,0,-250,-7625,0,0
"4000",-1028,-1130,0,0,-375,-2000,0,0
"4500",-166,-431,0,0,0,0,0,0
"5000",-909,-202,0,0,0,0,0,0
"5500",-80,-447,0,0,0,0,0,0
"6000",-37,-741,0,0,0,0,0,0
"6500",-123,-232,0,0,0,0,0,0
