"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"200",-1,0,0,0,0,-1,0,0
"300",0,0,50,25,0,0,0,0
"400",-1,-10,33,152,0,0,0,0
"500",0,0,908,521,0,0,0,0
"600",-20,-20,49,1206,0,0,0,0
"700",0,0,715,705,0,0,0,0
"800",0,0,2244,1281,0,0,0,0
"900",0,0,3105,1172,0,0,0,250
"1000",-10,0,6490,3615,0,0,1838,1000
"1100",0,-4,5364,5226,0,0,6800,4245
"1200",-2093,-149,14467,8839,0,0,17400,5918
"1300",-115,-445,8727,8841,-112,-415,18883,1082
"1400",-650,-1089,7952,9746,0,-125,1375,6400
"1500",-3433,-3465,8424,12963,-4151,-5250,6251,15250
"1600",-6929,-10400,6402,8738,-5432,-16870,5250,14320
"1700",-42783,-11842,5189,3752,-20298,-5850,4150,575
"1800",-47756,-13476,2744,952,-28031,-22379,0,0
"1900",-7325,-8074,1071,357,-7500,-4125,0,500
"2000",-13539,-15010,16,2,-20083,-7250,0,0
"2100",-6737,-9624,0,20,-16689,-2293,0,0
"2200",-5245,-5561,32,3,-28725,-3900,0,0
"2300",-2663,-5696,0,0,-4125,-5375,0,0
"2400",-5651,-7089,1,0,-7500,-2281,0,0
"2500",-2070,-3275,27,30,-1600,-600,0,0
"2600",-3484,-5105,0,0,-10260,-11192,0,0
"2800",-1700,-2918,0,0,-57,0,0,0
"3000",-2855,-2910,0,28,-2250,-5777,0,0
"3200",-770,-2364,0,0,0,0,0,0
"3400",-436,-569,0,0,0,0,0,0
"3500",-733,-1039,0,0,0,-1500,0,0
"4000",-270,-1034,0,0,-250,0,0,0
"4500",-462,-1024,0,0,0,0,0,0
"5000",-838,-2523,2,1,-5145,0,0,0
"5500",-2461,-5336,0,0,0,-125,0,0
"6000",-800,-3032,0,0,0,0,0,0
"6500",-1775,-1577,0,0,0,0,0,0
"7000",-1124,-767,0,0,0,0,0,0
"8000",-3897,-2557,0,0,0,0,0,0
"9000",-151,0,0,0,0,0,0,0
"10000",-1065,-236,0,0,0,0,0,0
"20000",-35,-65,0,0,0,0,0,0
"25000",-79,0,0,0,0,0,0,0
"30000",-431,0,0,0,0,0,0,0
