"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"200",0,0,150,3,0,0,0,0
"300",0,0,237,0,0,0,0,0
"400",0,0,5,100,0,0,0,0
"500",0,0,10,0,0,0,0,0
"600",0,0,2,1,0,0,0,0
"700",0,0,11,0,0,0,0,0
"800",0,0,0,115,0,0,0,20
"900",0,0,4,111,0,0,19,0
"1000",0,0,37,108,0,0,153,0
"1100",0,0,302,305,0,0,0,10
"1200",0,-2,74,94,0,0,70,0
"1300",0,0,70,157,0,0,54,0
"1400",0,0,90,10,-60,0,0,8
"1500",0,0,64,60,-12,0,0,24
"1600",-14,-11,68,139,-41,-3100,14,600
"1700",0,-1,29,10,-50,0,0,0
"1800",-1,0,0,0,-500,-30,0,0
"1900",-20,-24,0,0,0,-24,0,0
"2000",-5171,-699,0,12,-3,-5500,0,2
"2200",-3,-274,0,0,-11,0,0,0
"2500",-66,-176,0,0,-677,0,0,0
"3000",-219,-151,0,0,-10000,0,0,0
"3500",-265,-150,0,0,0,-32,0,0
"4000",-4,0,0,0,0,0,0,0
"4500",-76,-266,0,0,0,0,0,0
"5000",-8,-1,0,0,0,0,0,0
"5500",-16,-1,0,0,0,0,0,0
