"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"300",0,0,0,4,0,0,0,0
"500",0,0,1,163,0,0,0,0
"600",0,0,8,10,0,0,0,0
"700",0,0,101,1,0,0,0,0
"800",0,0,58,84,0,0,0,0
"900",0,0,6,3,0,0,0,0
"1000",0,0,263,382,0,0,0,0
"1100",0,-1,255,89,0,0,0,0
"1200",0,-5,469,647,0,0,0,0
"1300",0,0,405,636,0,0,0,500
"1400",-102,-80,158,324,0,0,0,4000
"1500",-2,-72,699,550,0,-1000,500,750
"1600",-486,-216,465,473,-22850,0,1500,1250
"1700",-452,-382,318,97,0,-500,0,0
"1800",-231,-203,91,1,-2000,-1125,0,0
"1900",-5149,-969,0,46,-600,-1251,0,0
"2000",-833,-1211,910,90,-250,-500,0,0
"2100",-284,-385,0,0,-125,0,0,0
"2200",-460,-472,0,0,-6000,-23100,0,0
"2300",-195,-265,0,0,-750,0,0,0
"2400",-606,-250,0,0,-500,0,0,0
"2500",-469,-467,34,6,-2000,-10500,0,0
"2600",-215,-274,0,0,-1000,0,0,0
"3000",-1113,-1084,0,0,-125,0,0,0
"3500",-841,-570,0,0,-32500,0,0,0
"4000",-508,-118,0,0,0,0,0,0
"4500",-237,-145,0,0,0,0,0,0
"5000",-557,-9,0,0,0,0,0,0
"5500",-42,-190,0,0,0,0,0,0
"6000",0,-397,0,0,0,0,0,0
