"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"700",0,0,10,154,0,0,0,0
"800",0,0,594,620,0,0,0,0
"900",0,0,319,8,0,0,0,0
"1000",-1,0,209,236,0,0,0,0
"1100",-10,-12,2494,808,0,0,0,0
"1200",-15,-22,6481,4180,0,0,17550,2556
"1300",-147,-103,5516,4162,0,0,0,16325
"1400",-458,-656,7640,7280,-1550,-1000,1593,2750
"1500",-1418,-3026,8443,9539,-2250,-1950,8500,2000
"1600",-6629,-8148,2757,2534,-20500,-4008,500,3000
"1700",-21940,-18618,593,636,-42716,-4000,0,2069
"1800",-9301,-9296,11,29,-4611,-2650,0,0
"1900",-2744,-4735,0,0,0,-750,0,0
"2000",-2805,-3126,26,26,0,-642,0,0
"2100",-788,-1086,0,0,0,-122,0,0
"2200",-885,-1668,0,0,0,-5000,0,0
"2300",-105,-217,0,0,0,0,0,0
"2400",-314,-783,0,0,0,0,0,0
"2500",-274,-382,0,0,0,0,0,0
"2600",-1158,-191,0,0,0,-788,0,0
"2800",-150,-687,0,0,-1436,-699,0,0
"3000",-835,-237,0,0,-699,-830,0,0
"3200",-300,-200,0,0,-830,0,0,0
"3400",-542,-253,0,0,0,0,0,0
"4000",-12,0,0,0,0,0,0,0
"5500",-1,0,0,0,0,0,0,0
"6500",-52,0,0,0,0,0,0,0
"8000",0,0,1,0,0,0,0,0
