"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"100",0,0,52,10,0,0,0,0
"200",0,0,32,1,0,0,0,0
"300",0,0,58,40,0,0,0,0
"400",0,0,326,778,0,0,0,0
"500",0,0,172,687,0,0,0,0
"600",0,0,296,358,0,0,0,0
"700",0,0,317,687,0,0,0,0
"800",0,0,736,687,0,0,1250,250
"900",0,0,1171,1206,0,0,0,0
"1000",0,0,1344,2225,0,0,1500,2000
"1100",0,-8,2364,1757,0,0,0,0
"1200",0,-6,1831,1908,-1600,0,750,1000
"1300",-300,-25,1700,2269,-2600,0,1625,500
"1400",-242,-189,977,2146,-1850,0,500,11500
"1500",-307,-184,2092,1963,-250,-4900,500,5000
"1600",-1959,-1327,1093,1172,-25350,-8768,3000,6060
"1700",-1559,-1465,421,1238,0,-3810,0,1000
"1800",-1799,-1614,91,1001,-2000,-5565,0,1000
"1900",-8251,-2232,0,89,-850,-26884,0,0
"2000",-15109,-5963,918,93,-5750,-7363,0,0
"2100",-1742,-1589,0,0,-4156,0,0,0
"2200",-2678,-2548,0,0,-14983,-23600,0,0
"2300",-1089,-919,0,0,-5600,-250,0,0
"2400",-1315,-1587,0,0,-7110,-500,0,0
"2500",-1652,-2295,34,6,-7615,-11100,0,0
"2600",-1555,-682,0,0,-1000,-500,0,0
"3000",-2462,-2623,0,0,-6759,-4000,0,0
"3500",-1601,-1757,0,0,-32750,-7625,0,0
"4000",-965,-1001,0,0,-375,-2000,0,0
"4500",-370,-431,0,0,0,0,0,0
"5000",-1473,-202,0,0,0,0,0,0
"5500",-80,-447,0,0,0,0,0,0
"6000",-37,-741,0,0,0,0,0,0
"6500",-123,-232,0,0,0,0,0,0
