"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"200",0,0,0,3,0,0,0,0
"300",0,0,298,0,0,0,0,0
"400",0,0,5,0,0,0,0,0
"500",0,0,10,0,0,0,0,0
"600",0,0,3,11,0,0,875,0
"700",0,0,2,0,0,0,0,0
"800",0,0,3,3,0,0,0,0
"900",0,0,4,7,0,0,0,0
"1000",0,0,37,49,0,0,500,0
"1100",0,0,653,478,0,0,0,0
"1200",0,0,21,76,0,0,0,0
"1300",0,0,143,244,0,0,0,0
"1400",-8,0,538,47,0,0,0,0
"1500",0,0,15,50,0,0,0,0
"1600",-10,0,194,187,0,-600,1000,600
"1700",0,-7,29,0,0,0,0,0
"1800",-150,-1,0,1,0,0,0,0
"1900",-21,-6,0,0,0,0,0,0
"2000",-892,-545,0,9,0,0,0,0
"2200",-1995,-773,0,0,0,0,0,0
"2500",-1893,-875,0,0,-500,-1500,0,0
"3000",-85,-292,28,0,0,0,0,0
"3500",0,-152,0,0,0,0,0,0
"4000",-9,-14,0,0,0,0,0,0
"4500",0,-17,0,0,0,0,0,0
"5000",-18,-50,0,0,0,0,0,0
"5500",-41,-101,0,0,0,0,0,0
