"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"300",0,0,0,4,0,0,0,0
"500",0,0,1,163,0,0,0,0
"600",0,0,5,10,0,0,0,0
"700",0,0,102,1,0,0,0,0
"800",0,0,59,84,0,0,0,0
"900",0,0,708,24,0,0,0,0
"1000",0,0,264,344,0,0,0,0
"1100",0,-1,340,85,0,0,0,0
"1200",0,-5,516,579,0,0,500,0
"1300",0,0,392,563,0,0,0,0
"1400",-102,-80,163,299,0,0,0,4000
"1500",-2,-72,573,480,0,0,500,750
"1600",-635,-211,480,448,-22850,0,1500,1250
"1700",-362,-328,328,47,0,-500,0,0
"1800",-196,-101,91,1,-2000,-1000,0,0
"1900",-274,-239,0,46,-600,-1251,0,0
"2000",-1144,-1302,912,90,-250,0,0,0
"2100",-284,-73,0,0,0,0,0,0
"2200",-460,-503,0,0,-6000,-22850,0,0
"2300",-195,-153,0,0,-750,0,0,0
"2400",-613,-301,0,0,0,0,0,0
"2500",-461,-443,34,6,0,-10000,0,0
"2600",-127,-246,0,0,-500,0,0,0
"3000",-964,-838,0,0,0,0,0,0
"3500",-867,-570,0,0,-32500,0,0,0
"4000",-508,-118,0,0,0,0,0,0
"4500",-237,-140,0,0,0,0,0,0
"5000",-571,-8,0,0,0,0,0,0
"5500",-42,-190,0,0,0,0,0,0
"6000",0,-397,0,0,0,0,0,0
