"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"400",0,0,0,15,0,0,0,0
"600",0,0,11,0,0,0,0,0
"700",0,0,1,151,0,0,0,0
"800",0,0,95,101,0,0,0,0
"900",0,0,350,54,0,0,0,0
"1000",0,0,332,531,0,0,0,125
"1100",0,0,936,647,0,0,0,0
"1200",-26,-100,4776,2315,0,0,0,3000
"1300",0,-35,3130,1865,0,0,0,0
"1400",-38,-169,3486,3474,0,0,1000,0
"1500",-931,-557,2632,4346,-250,-2000,3250,11250
"1600",-795,-1166,3092,3406,-285,-2948,3000,500
"1700",-2442,-3512,2787,1297,-3575,-2200,2500,575
"1800",-16657,-5251,2834,902,0,-8879,0,0
"1900",-3022,-3369,1070,337,-1500,-500,0,0
"2000",-3673,-4429,0,0,-5625,-1000,0,0
"2100",-1717,-1557,0,0,-8250,0,0,0
"2200",-3114,-1357,0,0,-25925,0,0,0
"2300",-667,-790,0,0,-125,-375,0,0
"2400",-2535,-721,0,0,0,-1500,0,0
"2500",-845,-194,0,28,-600,0,0,0
"2600",-145,-237,0,0,0,0,0,0
"2800",-222,-115,0,0,0,0,0,0
"3000",-645,-516,0,28,-1000,0,0,0
"3200",-246,-53,0,0,0,0,0,0
"3400",-60,-28,0,0,0,0,0,0
"3500",-26,-20,0,0,0,0,0,0
"4000",-1,-80,0,0,0,0,0,0
"4500",0,-424,0,0,0,0,0,0
"5000",-725,-576,2,1,0,0,0,0
"5500",-2152,-719,0,0,0,-1110,0,0
"6000",0,0,0,0,-1110,-1030,0,0
"7000",0,0,0,0,-530,0,0,0
"8000",0,0,0,0,-350,0,0,0
"10000",0,0,0,0,-150,0,0,0
