"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"200",0,0,150,3,0,0,0,0
"300",0,0,546,2,0,0,0,0
"400",0,0,7,198,0,0,500,0
"500",0,0,29,15,0,0,0,0
"600",0,0,37,144,0,0,875,200
"700",0,0,93,44,0,0,0,0
"800",0,0,252,321,0,0,0,20
"900",0,0,565,1114,0,0,19,0
"1000",0,0,261,308,0,0,153,0
"1100",0,-1,1111,1088,0,-219,0,10
"1200",-1,-2,110,536,0,0,2570,2500
"1300",0,0,222,603,0,0,54,0
"1400",-62,-13,2559,520,-60,0,0,508
"1500",-24,-135,468,272,-312,0,0,24
"1600",-503,-159,269,226,-260,-4600,14,600
"1700",-267,-365,40,11,-50,-250,0,250
"1800",-975,-319,26,1,-1500,-3280,0,0
"1900",-4832,-858,0,70,-1000,-107672,0,0
"2000",-11600,-2797,31,20,-3,-13950,0,2
"2200",-2593,-1592,0,60,-11,0,0,0
"2500",-2889,-2072,0,0,-677,-1500,0,0
"3000",-1091,-1114,28,0,-12625,-750,0,0
"3500",-765,-637,0,0,-2375,-632,0,0
"4000",-101,-293,0,0,-1000,0,0,0
"4500",-100,-304,0,0,0,0,0,0
"5000",-19,-79,0,0,0,0,0,0
"5500",-570,-124,0,0,0,0,0,0
