"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"100",0,0,55,10,0,0,0,0
"200",0,0,66,178,0,0,0,0
"300",0,0,0,36,0,0,0,0
"400",0,0,767,856,0,0,0,0
"500",0,0,76,685,0,0,0,0
"600",0,0,613,408,0,0,0,0
"700",0,0,368,496,0,0,0,0
"800",0,0,555,762,0,0,1427,250
"900",0,0,1332,1298,0,0,183,1000
"1000",0,0,1484,1955,0,0,9000,2084
"1100",-5,-1,2958,1329,0,0,253,500
"1200",0,-6,2468,2806,-1600,-509,750,2545
"1300",-226,-25,1451,2351,-3100,0,2600,1857
"1400",-107,-199,1390,1878,-1850,-236,750,17071
"1500",-11,-184,2246,2130,-796,-5167,750,6500
"1600",-1865,-1428,921,1172,-45825,-7414,1500,5897
"1700",-1279,-1218,738,1553,0,-4019,0,1593
"1800",-1287,-1926,424,1264,-2000,-12128,0,1014
"1900",-5832,-3039,0,89,-2800,-28183,0,49
"2000",-6249,-6684,912,92,-6600,-9430,0,0
"2100",-1441,-1998,0,0,-467,-21500,0,0
"2200",-1795,-1675,0,0,-12575,-23600,0,0
"2300",-1019,-838,0,0,-6700,-250,0,0
"2400",-1367,-1919,0,0,-11151,-1750,0,0
"2500",-1790,-1375,34,6,-5870,-10500,0,0
"2600",-1794,-799,0,0,-1111,0,0,0
"3000",-1830,-2791,0,0,-7689,-9030,0,0
"3500",-1626,-1700,0,0,-32589,0,0,0
"4000",-1924,-704,0,0,-376,0,0,0
"4500",-296,-465,0,0,0,0,0,0
"5000",-1010,-129,0,0,0,0,0,0
"5500",-78,-432,0,0,0,0,0,0
"6000",-35,-581,0,0,0,0,0,0
"6500",-48,-497,0,0,0,0,0,0
