"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"200",0,0,2,0,0,-1,0,0
"300",0,0,51,20,0,0,0,0
"400",-1,-10,1,102,0,0,0,0
"500",0,0,892,389,0,0,0,0
"600",-20,-20,49,385,0,0,187,187
"700",0,0,618,652,0,0,0,187
"800",0,0,2016,2842,0,0,0,22
"900",0,0,3346,972,0,0,712,250
"1000",-10,0,3538,4557,0,0,3098,375
"1100",0,0,4881,7215,0,0,2990,4945
"1200",-2004,-149,16308,6540,0,-46,17000,8739
"1300",-30,-228,10558,9199,-512,-1297,19236,6082
"1400",-1017,-1287,13722,13355,-398,0,4643,12660
"1500",-3679,-3557,11734,18087,-3651,-3842,13201,19656
"1600",-10100,-12430,9201,13524,-6557,-17037,10025,17023
"1700",-49718,-20485,5831,4922,-23848,-20332,5650,1311
"1800",-52746,-21815,3510,1707,-58318,-27488,1500,80
"1900",-11070,-11808,1070,372,-8327,-10025,0,500
"2000",-15776,-17424,11,2,-28075,-10000,0,0
"2100",-8096,-11266,0,0,-14244,-1818,0,0
"2200",-6755,-5995,0,1,-28475,-13083,0,0
"2300",-2446,-5346,0,0,-3875,-6005,0,0
"2400",-6165,-6839,1,0,-2510,-2281,0,0
"2500",-3360,-3029,2,28,-2065,-1100,0,0
"2600",-3640,-3972,0,0,-6875,-4453,0,0
"2800",-2475,-1255,0,0,-157,0,0,0
"3000",-1916,-2030,0,28,-2250,-5777,0,0
"3200",-455,-1353,0,0,-812,-1550,0,0
"3400",-498,-508,0,0,-1301,-1295,0,0
"3500",-561,-1240,0,0,-1295,-2073,0,0
"4000",-750,-1127,0,0,-1268,-720,0,0
"4500",-1062,-1140,0,0,-976,-1100,0,0
"5000",-1905,-3291,3,1,-6245,-1150,0,0
"5500",-4666,-4981,0,0,-1150,-1235,0,0
"6000",-800,-2813,0,0,-1110,-1030,0,0
"6500",-1775,-1218,0,0,0,0,0,0
"7000",-1122,-527,0,0,-530,0,0,0
"8000",-3847,-197,0,0,-350,0,0,0
"9000",-150,0,0,0,0,0,0,0
"10000",-945,-196,0,0,-150,0,0,0
"25000",-1,0,0,0,0,0,0,0
"30000",-1,0,0,0,0,0,0,0
