"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"200",0,0,150,0,0,0,0,0
"400",0,0,0,100,0,0,0,0
"700",0,0,11,0,0,0,0,0
"800",0,0,50,115,0,0,0,20
"900",0,0,0,105,0,0,19,0
"1000",0,0,6,100,0,0,153,0
"1100",0,-1,8,368,0,-219,0,10
"1200",-1,-2,67,66,0,0,70,0
"1300",0,0,1,0,0,0,54,0
"1400",0,0,54,6,-60,0,0,8
"1500",0,0,63,20,-312,0,0,24
"1600",-8,-11,24,28,-260,-2500,14,0
"1700",-14,0,0,10,-50,-250,0,250
"1800",-175,0,0,0,-1500,-1280,0,0
"1900",-12,-18,0,70,0,-24,0,0
"2000",-9042,-1108,0,1,-3,-5750,0,2
"2200",-75,-277,0,0,-11,0,0,0
"2500",-29,-12,0,0,-177,0,0,0
"3000",-217,-446,0,0,-10000,-750,0,0
"3500",-265,-22,0,0,0,-632,0,0
"4500",-76,-266,0,0,0,0,0,0
"5000",-1,-1,0,0,0,0,0,0
"5500",-178,-4,0,0,0,0,0,0
