"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"100",0,0,5,0,0,0,0,0
"200",0,0,4,178,0,0,0,0
"300",0,0,0,1,0,0,0,0
"400",0,0,180,289,0,0,0,0
"500",0,0,0,4,0,0,0,0
"600",0,0,60,107,0,0,0,0
"700",0,0,86,66,0,0,0,0
"800",0,0,33,151,0,0,177,0
"900",0,0,293,260,0,0,183,1000
"1000",0,0,634,280,0,0,500,84
"1100",-5,0,959,187,0,0,253,500
"1200",0,0,877,1090,0,-509,0,1545
"1300",0,0,276,526,-500,0,1100,1357
"1400",0,0,706,381,0,-236,250,5571
"1500",-1,-81,269,384,-546,-267,250,1500
"1600",-193,-175,208,269,-21975,-279,0,637
"1700",-283,-144,154,336,0,-709,0,593
"1800",-9,-816,332,248,0,-1813,0,14
"1900",-512,-895,0,0,-2200,-949,0,49
"2000",-1317,-1524,0,0,-3350,-3317,0,0
"2100",-448,-800,0,0,-342,-21500,0,0
"2200",-93,-92,0,0,-1842,0,0,0
"2300",-57,-138,0,0,-1200,0,0,0
"2400",-88,-398,0,0,-4041,-1070,0,0
"2500",-221,-92,0,0,-255,0,0,0
"2600",-245,-167,0,0,-111,0,0,0
"3000",-79,-920,0,0,-250,-5030,0,0
"3500",-270,-292,0,0,-89,0,0,0
"4000",-1176,-338,0,0,-1,0,0,0
"4500",-47,-55,0,0,0,0,0,0
"5000",-70,-86,0,0,0,0,0,0
"5500",0,-38,0,0,0,0,0,0
"6000",-5,-3,0,0,0,0,0,0
"6500",0,-324,0,0,0,0,0,0
