"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"200",0,0,2,0,0,0,0,0
"300",0,0,1,0,0,0,0,0
"400",0,0,1,0,0,0,0,0
"600",0,0,0,14,0,0,187,187
"700",0,0,8,35,0,0,0,187
"800",0,0,1386,1685,0,0,0,22
"900",0,0,569,126,0,0,712,0
"1000",0,0,474,1706,0,0,385,0
"1100",0,0,849,2652,0,0,940,500
"1200",0,-2,3762,865,0,-46,4100,2696
"1300",-15,-1,3240,2622,-400,-882,3736,4500
"1400",-422,-281,6325,4737,-398,0,3518,7260
"1500",-854,-1225,5367,6511,0,-92,7450,5156
"1600",-4785,-4481,2899,4476,-2375,-4265,5775,1878
"1700",-7434,-8495,932,1145,-4050,-15482,1500,736
"1800",-7646,-8587,560,582,-27600,-4959,1500,80
"1900",-4636,-5100,0,25,-827,-6400,0,0
"2000",-4943,-3921,0,0,-8450,-3500,0,0
"2100",-2567,-2617,0,0,-555,-1150,0,0
"2200",-1573,-1438,0,0,0,-2583,0,0
"2300",-655,-841,0,0,-500,-545,0,0
"2400",-878,-482,0,0,-10,0,0,0
"2500",-1298,-353,0,0,-465,-500,0,0
"2600",-801,-686,0,0,0,-511,0,0
"2800",-1272,-296,0,0,-100,0,0,0
"3000",-93,-481,0,0,0,0,0,0
"3200",-165,-826,0,0,-812,-1550,0,0
"3400",-135,-271,0,0,-1301,-1295,0,0
"3500",-215,-361,0,0,-1295,-573,0,0
"4000",-483,-38,0,0,-1018,-720,0,0
"4500",-564,-116,0,0,-976,-1100,0,0
"5000",-934,-16,1,0,-1100,0,0,0
"5500",-750,0,0,0,0,0,0,0
