"DateTime","Implied Volatility","Realized Volatility","Spread"
"2023-03-16 00:00:00",66.14,84.67,-18.53
"2023-03-16 01:00:00",62.88,84.78,-21.9
"2023-03-16 02:00:00",60.98,84.81,-23.830000000000005
"2023-03-16 03:00:00",57.47,84.8,-27.33
"2023-03-16 04:00:00",52.02,84.81,-32.79
"2023-03-16 05:00:00",53.32,84.84,-31.520000000000003
"2023-03-16 06:00:00",54.42,84.85,-30.429999999999993
"2023-03-16 07:00:00",55.53,84.91,-29.379999999999995
"2023-03-16 08:00:00",56.32,84.89,-28.57
"2023-03-16 09:00:00",57.19,84.86,-27.67
"2023-03-16 10:00:00",60.6,84.86,-24.259999999999998
"2023-03-16 11:00:00",60.93,84.98,-24.050000000000004
"2023-03-16 12:00:00",60.77,85.01,-24.240000000000002
"2023-03-16 13:00:00",62.62,85.12,-22.500000000000007
"2023-03-16 14:00:00",61.49,85.11,-23.619999999999997
"2023-03-16 15:00:00",60.38,85.11,-24.729999999999997
"2023-03-16 16:00:00",58.02,85.06,-27.04
"2023-03-16 17:00:00",57.8,84.99,-27.189999999999998
"2023-03-16 18:00:00",57.67,85.02,-27.349999999999994
"2023-03-16 19:00:00",57.88,84.23,-26.35
"2023-03-16 20:00:00",59.9,84.09,-24.190000000000005
"2023-03-16 21:00:00",59.86,76.11,-16.25
"2023-03-16 22:00:00",60.59,75.91,-15.319999999999993
"2023-03-16 23:00:00",59.64,75.9,-16.260000000000005
"2023-03-17 00:00:00",60.17,75.88,-15.709999999999994
"2023-03-17 01:00:00",59.3,75.74,-16.439999999999998
"2023-03-17 02:00:00",60.29,76.75,-16.46
"2023-03-17 03:00:00",65.61,76.75,-11.14
"2023-03-17 04:00:00",64.48,76.76,-12.280000000000001
"2023-03-17 05:00:00",64.1,76.56,-12.460000000000008
"2023-03-17 06:00:00",62.86,76.55,-13.689999999999998
"2023-03-17 07:00:00",65.43,76.6,-11.169999999999987
"2023-03-17 08:00:00",62.82,76.72,-13.899999999999999
"2023-03-17 09:00:00",62.39,76.68,-14.290000000000006
"2023-03-17 10:00:00",62.8,76.47,-13.670000000000002
"2023-03-17 11:00:00",68.7,76.4,-7.700000000000003
"2023-03-17 12:00:00",67.04,76.59,-9.549999999999997
"2023-03-17 13:00:00",66.84,77.21,-10.36999999999999
"2023-03-17 14:00:00",66.04,75.98,-9.939999999999998
"2023-03-17 15:00:00",64.18,75.74,-11.559999999999988
"2023-03-17 16:00:00",63,75.41,-12.409999999999997
"2023-03-17 17:00:00",62.86,75.45,-12.590000000000003
"2023-03-17 18:00:00",62.95,75.45,-12.5
"2023-03-17 19:00:00",64.44,75.44,-11
"2023-03-17 20:00:00",67.42,74.96,-7.539999999999992
"2023-03-17 21:00:00",66.18,74.9,-8.719999999999999
"2023-03-17 22:00:00",66.09,75.09,-9
"2023-03-17 23:00:00",71.95,75.24,-3.289999999999992
"2023-03-18 00:00:00",68.9,75.48,-6.579999999999998
"2023-03-18 01:00:00",70.86,76.18,-5.320000000000007
"2023-03-18 02:00:00",68.85,74.86,-6.010000000000005
"2023-03-18 03:00:00",65.39,74.97,-9.579999999999998
"2023-03-18 04:00:00",64.61,74.86,-10.25
"2023-03-18 05:00:00",64.17,74.92,-10.75
"2023-03-18 06:00:00",63.53,74.95,-11.420000000000002
"2023-03-18 07:00:00",68.23,74.88,-6.6499999999999915
"2023-03-18 08:00:00",71.53,71.75,-0.21999999999999886
"2023-03-18 09:00:00",68.13,71.37,-3.240000000000009
"2023-03-18 10:00:00",67.7,71.37,-3.6700000000000017
"2023-03-18 11:00:00",68.45,71.16,-2.7099999999999937
"2023-03-18 12:00:00",68.06,71.19,-3.1299999999999955
"2023-03-18 13:00:00",70.24,71.32,-1.0799999999999983
"2023-03-18 14:00:00",68.92,71.56,-2.6400000000000006
"2023-03-18 15:00:00",68.83,71.57,-2.739999999999995
"2023-03-18 16:00:00",71.91,72.56,-0.6500000000000057
"2023-03-18 17:00:00",74.03,72.59,1.4399999999999977
"2023-03-18 18:00:00",73.21,72.28,0.9299999999999926
"2023-03-18 19:00:00",71.89,72.29,-0.4000000000000057
"2023-03-18 20:00:00",69.56,72.32,-2.759999999999991
"2023-03-18 21:00:00",69.08,71.92,-2.8400000000000034
"2023-03-18 22:00:00",69.57,72.17,-2.6000000000000085
"2023-03-18 23:00:00",69.87,72.21,-2.339999999999989
"2023-03-19 00:00:00",69.84,72.19,-2.3499999999999943
"2023-03-19 01:00:00",71.04,72.26,-1.2199999999999989
"2023-03-19 02:00:00",70.53,72.26,-1.730000000000004
"2023-03-19 03:00:00",69.66,72.27,-2.6099999999999994
"2023-03-19 04:00:00",69.02,72.27,-3.25
"2023-03-19 05:00:00",68.89,72.29,-3.4000000000000057
"2023-03-19 06:00:00",69.87,72.28,-2.4099999999999966
"2023-03-19 07:00:00",70,72.33,-2.3299999999999983
"2023-03-19 08:00:00",70.33,72.34,-2.010000000000005
"2023-03-19 09:00:00",67.21,72.34,-5.13000000000001
"2023-03-19 10:00:00",66.6,72.31,-5.710000000000008
"2023-03-19 11:00:00",66.39,72.34,-5.950000000000003
"2023-03-19 12:00:00",69.24,72.43,-3.190000000000012
"2023-03-19 13:00:00",70.51,72.33,-1.8199999999999932
"2023-03-19 14:00:00",71.27,72.43,-1.1600000000000108
"2023-03-19 15:00:00",70.89,72.46,-1.5699999999999932
"2023-03-19 16:00:00",73.01,72.49,0.5200000000000102
"2023-03-19 17:00:00",77.2,72.9,4.299999999999997
"2023-03-19 18:00:00",78.29,68.69,9.600000000000009
"2023-03-19 19:00:00",79.2,68.46,10.740000000000009
"2023-03-19 20:00:00",80.06,67.72,12.340000000000003
"2023-03-19 21:00:00",78.69,67.53,11.159999999999997
"2023-03-19 22:00:00",77.77,67.53,10.239999999999995
"2023-03-19 23:00:00",77.17,66.87,10.299999999999997
"2023-03-20 00:00:00",76.75,67.33,9.420000000000002
"2023-03-20 01:00:00",76.32,66.02,10.299999999999997
"2023-03-20 02:00:00",76.3,65.74,10.560000000000002
"2023-03-20 03:00:00",73.45,65.67,7.780000000000001
"2023-03-20 04:00:00",71.73,66,5.730000000000004
"2023-03-20 05:00:00",71.77,65.95,5.819999999999993
"2023-03-20 06:00:00",71.39,65.98,5.409999999999997
"2023-03-20 07:00:00",73.21,65.98,7.22999999999999
"2023-03-20 08:00:00",72.39,67.25,5.140000000000001
"2023-03-20 09:00:00",74.25,66.59,7.659999999999997
"2023-03-20 10:00:00",76.03,66.25,9.780000000000001
"2023-03-20 11:00:00",75.58,66.08,9.5
"2023-03-20 12:00:00",73.56,66.08,7.480000000000004
"2023-03-20 13:00:00",72.82,66.08,6.739999999999995
"2023-03-20 14:00:00",69.81,66.39,3.4200000000000017
"2023-03-20 15:00:00",67.84,63.62,4.220000000000006
"2023-03-20 16:00:00",66.73,63.15,3.5800000000000054
"2023-03-20 17:00:00",66.77,63.31,3.4599999999999937
"2023-03-20 18:00:00",66.62,63.32,3.3000000000000043
"2023-03-20 19:00:00",67.11,63.57,3.539999999999999
"2023-03-20 20:00:00",66.25,63.72,2.530000000000001
"2023-03-20 21:00:00",66.49,63.51,2.979999999999997
"2023-03-20 22:00:00",66.37,63.54,2.8300000000000054
"2023-03-20 23:00:00",66.13,63.35,2.779999999999994
"2023-03-21 00:00:00",66.06,63.59,2.469999999999999
"2023-03-21 01:00:00",67.53,63.85,3.6799999999999997
"2023-03-21 02:00:00",67.37,63.78,3.5900000000000034
"2023-03-21 03:00:00",66.53,63.75,2.780000000000001
"2023-03-21 04:00:00",66.14,63.68,2.460000000000001
"2023-03-21 05:00:00",66.14,63.69,2.450000000000003
"2023-03-21 06:00:00",65.82,63.81,2.009999999999991
"2023-03-21 07:00:00",66.32,63.81,2.509999999999991
"2023-03-21 08:00:00",66.16,63.87,2.289999999999999
"2023-03-21 09:00:00",65.27,63.93,1.3399999999999963
"2023-03-21 10:00:00",66.49,64.08,2.4099999999999966
"2023-03-21 11:00:00",67.17,63.94,3.230000000000004
"2023-03-21 12:00:00",67.03,63.95,3.0799999999999983
"2023-03-21 13:00:00",75.86,62.71,13.149999999999999
"2023-03-21 14:00:00",76.16,62.94,13.219999999999999
"2023-03-21 15:00:00",73.49,62.28,11.209999999999994
"2023-03-21 16:00:00",72.3,62.18,10.119999999999997
"2023-03-21 17:00:00",71.58,62.12,9.46
"2023-03-21 18:00:00",71.6,62.65,8.949999999999996
"2023-03-21 19:00:00",70.44,61.5,8.939999999999998
"2023-03-21 20:00:00",69.96,61.43,8.529999999999994
"2023-03-21 21:00:00",68.98,60.85,8.130000000000003
"2023-03-21 22:00:00",70.29,60.83,9.460000000000008
"2023-03-21 23:00:00",70.42,60.78,9.64
"2023-03-22 00:00:00",70.25,60.84,9.409999999999997
"2023-03-22 01:00:00",70.28,61.08,9.200000000000003
"2023-03-22 02:00:00",76.08,60.99,15.089999999999996
"2023-03-22 03:00:00",75.74,60.99,14.749999999999993
"2023-03-22 04:00:00",75.67,60.95,14.719999999999999
"2023-03-22 05:00:00",75.51,60.95,14.560000000000002
"2023-03-22 06:00:00",76.2,60.92,15.280000000000001
"2023-03-22 07:00:00",76.38,60.96,15.419999999999995
"2023-03-22 08:00:00",76.51,61,15.510000000000005
"2023-03-22 09:00:00",76.44,60.98,15.46
"2023-03-22 10:00:00",77.13,60.77,16.359999999999992
"2023-03-22 11:00:00",78.01,60.67,17.340000000000003
"2023-03-22 12:00:00",77.26,60.71,16.550000000000004
"2023-03-22 13:00:00",76.63,60.81,15.819999999999993
"2023-03-22 14:00:00",75.77,60.65,15.119999999999997
"2023-03-22 15:00:00",74.59,60.42,14.170000000000002
"2023-03-22 16:00:00",73.93,59.66,14.27000000000001
"2023-03-22 17:00:00",74.47,59.08,15.39
"2023-03-22 18:00:00",78.74,59.21,19.529999999999994
"2023-03-22 19:00:00",66.79,59.1,7.690000000000005
"2023-03-22 20:00:00",67.99,63.51,4.479999999999997
"2023-03-22 21:00:00",65,63.83,1.1700000000000017
"2023-03-22 22:00:00",62.8,64.02,-1.2199999999999989
"2023-03-22 23:00:00",62.72,64.03,-1.3100000000000023
"2023-03-23 00:00:00",62.51,64.1,-1.5899999999999963
"2023-03-23 01:00:00",61.86,63.95,-2.0900000000000034
"2023-03-23 02:00:00",61.19,64,-2.8100000000000023
"2023-03-23 03:00:00",60.4,64.07,-3.6699999999999946
"2023-03-23 04:00:00",58.73,64.06,-5.330000000000005
"2023-03-23 05:00:00",58.44,64.05,-5.609999999999999
"2023-03-23 06:00:00",57.76,64.42,-6.660000000000004
"2023-03-23 07:00:00",57.85,64.32,-6.469999999999992
"2023-03-23 08:00:00",55.99,64.32,-8.329999999999991
"2023-03-23 09:00:00",56.4,64.31,-7.910000000000004
"2023-03-23 10:00:00",56.87,64.32,-7.449999999999996
"2023-03-23 11:00:00",58.48,64.17,-5.690000000000005
"2023-03-23 12:00:00",58.81,64.15,-5.340000000000003
"2023-03-23 13:00:00",58.39,64.01,-5.6200000000000045
"2023-03-23 14:00:00",58.59,63.98,-5.3899999999999935
"2023-03-23 15:00:00",59.02,67.82,-8.79999999999999
"2023-03-23 16:00:00",63.51,69.03,-5.520000000000003
"2023-03-23 17:00:00",62.75,69.12,-6.3700000000000045
"2023-03-23 18:00:00",61.98,69.09,-7.1100000000000065
"2023-03-23 19:00:00",61.88,69.8,-7.919999999999995
"2023-03-23 20:00:00",63.65,69.76,-6.1100000000000065
"2023-03-23 21:00:00",63.21,69,-5.789999999999999
"2023-03-23 22:00:00",63.2,68.73,-5.530000000000001
"2023-03-23 23:00:00",62.79,68.78,-5.990000000000002
"2023-03-24 00:00:00",63.04,68.8,-5.759999999999998
"2023-03-24 01:00:00",62.84,68.7,-5.859999999999999
"2023-03-24 02:00:00",63.01,67.5,-4.490000000000002
"2023-03-24 03:00:00",62.49,67.48,-4.990000000000002
"2023-03-24 04:00:00",62.32,67.46,-5.1399999999999935
"2023-03-24 05:00:00",61.24,67.5,-6.259999999999998
"2023-03-24 06:00:00",62.42,67.56,-5.140000000000001
"2023-03-24 07:00:00",61.64,66.97,-5.329999999999998
"2023-03-24 08:00:00",61.45,66.85,-5.3999999999999915
"2023-03-24 09:00:00",60,67.35,-7.349999999999994
"2023-03-24 10:00:00",61.07,67.36,-6.289999999999999
"2023-03-24 11:00:00",60.49,66.56,-6.07
"2023-03-24 12:00:00",61.82,66.24,-4.419999999999995
"2023-03-24 15:00:00",62.11,66.37,-4.260000000000005
"2023-03-24 16:00:00",61.58,66.39,-4.810000000000002
"2023-03-24 17:00:00",61.25,65.57,-4.319999999999993
"2023-03-24 18:00:00",63.27,66.36,-3.0899999999999963
"2023-03-24 19:00:00",62.85,66.76,-3.9100000000000037
"2023-03-24 20:00:00",62.04,66.6,-4.559999999999995
"2023-03-24 21:00:00",60.59,66.83,-6.239999999999995
"2023-03-24 22:00:00",60.41,66.69,-6.280000000000001
"2023-03-24 23:00:00",60.27,66.68,-6.410000000000004
"2023-03-25 00:00:00",59.87,66.39,-6.520000000000003
"2023-03-25 01:00:00",59.9,66.19,-6.289999999999999
"2023-03-25 02:00:00",58.23,65.82,-7.589999999999996
"2023-03-25 03:00:00",58.05,64.75,-6.700000000000003
"2023-03-25 04:00:00",57.78,64.74,-6.959999999999994
"2023-03-25 05:00:00",57.07,64.66,-7.589999999999996
"2023-03-25 06:00:00",57.07,64.74,-7.669999999999995
"2023-03-25 07:00:00",56.85,64.75,-7.899999999999999
"2023-03-25 08:00:00",56.79,64.67,-7.880000000000003
"2023-03-25 09:00:00",56.24,64.69,-8.449999999999996
"2023-03-25 10:00:00",55.17,64.72,-9.549999999999997
"2023-03-25 11:00:00",55.34,64.69,-9.349999999999994
"2023-03-25 12:00:00",55.5,64.68,-9.180000000000007
"2023-03-25 13:00:00",55.76,64.67,-8.910000000000004
"2023-03-25 14:00:00",56.83,64.78,-7.950000000000003
"2023-03-25 15:00:00",56.41,64.56,-8.150000000000006
"2023-03-25 16:00:00",57.58,64.46,-6.8799999999999955
"2023-03-25 17:00:00",57.19,64.46,-7.269999999999996
"2023-03-25 18:00:00",55.18,63.56,-8.380000000000003
"2023-03-25 19:00:00",55.33,63.5,-8.170000000000002
"2023-03-25 20:00:00",56.81,64.07,-7.259999999999991
"2023-03-25 21:00:00",56.1,64.28,-8.18
"2023-03-25 22:00:00",55.63,64.28,-8.649999999999999
"2023-03-25 23:00:00",55.97,64.32,-8.349999999999994
"2023-03-26 00:00:00",55.86,64.14,-8.280000000000001
"2023-03-26 01:00:00",56.11,64.16,-8.049999999999997
"2023-03-26 02:00:00",56.32,64.02,-7.699999999999996
"2023-03-26 03:00:00",56.82,63.69,-6.869999999999997
"2023-03-26 04:00:00",57.3,63.68,-6.380000000000003
"2023-03-26 05:00:00",57.25,63.68,-6.43
"2023-03-26 06:00:00",57.02,63.67,-6.649999999999999
"2023-03-26 07:00:00",56.88,63.66,-6.779999999999994
"2023-03-26 08:00:00",57,63.66,-6.659999999999997
"2023-03-26 09:00:00",57.4,64.23,-6.830000000000005
"2023-03-26 10:00:00",59,64.19,-5.189999999999998
"2023-03-26 11:00:00",59.38,64.21,-4.829999999999991
"2023-03-26 12:00:00",59.02,64.24,-5.219999999999992
"2023-03-26 13:00:00",59.01,64.23,-5.220000000000006
"2023-03-26 14:00:00",58.28,64.64,-6.359999999999999
"2023-03-26 15:00:00",60.45,66.01,-5.560000000000002
"2023-03-26 16:00:00",60.15,65.93,-5.780000000000008
"2023-03-26 17:00:00",60.23,65.84,-5.6100000000000065
"2023-03-26 18:00:00",60.19,65.91,-5.719999999999999
"2023-03-26 19:00:00",61.04,65.27,-4.229999999999997
"2023-03-26 20:00:00",60.76,65.2,-4.440000000000005
"2023-03-26 21:00:00",60.27,65,-4.729999999999997
"2023-03-26 22:00:00",59.75,65.02,-5.269999999999996
"2023-03-26 23:00:00",60.22,64.3,-4.079999999999998
"2023-03-27 00:00:00",59.69,64.3,-4.609999999999999
"2023-03-27 01:00:00",60.01,64.17,-4.160000000000004
"2023-03-27 02:00:00",61.01,63.74,-2.730000000000004
"2023-03-27 03:00:00",59.9,63.63,-3.730000000000004
"2023-03-27 04:00:00",60.3,63.62,-3.3200000000000003
"2023-03-27 05:00:00",59.41,63.53,-4.1200000000000045
"2023-03-27 06:00:00",60.15,63.5,-3.3500000000000014
"2023-03-27 07:00:00",61.2,63.51,-2.309999999999995
"2023-03-27 08:00:00",60.86,63.44,-2.5799999999999983
"2023-03-27 09:00:00",59.99,63.47,-3.479999999999997
"2023-03-27 10:00:00",62.38,62.06,0.3200000000000003
"2023-03-27 11:00:00",62.72,62.05,0.6700000000000017
"2023-03-27 12:00:00",62.21,61.95,0.259999999999998
"2023-03-27 13:00:00",61.96,62.04,-0.0799999999999983
"2023-03-27 14:00:00",61.7,62,-0.29999999999999716
"2023-03-27 15:00:00",63.63,63.68,-0.04999999999999716
"2023-03-27 16:00:00",65.41,63.16,2.25
"2023-03-27 17:00:00",64.1,62.94,1.1599999999999966
"2023-03-27 18:00:00",63.29,62.9,0.39000000000000057
"2023-03-27 19:00:00",62.18,62.83,-0.6499999999999986
"2023-03-27 20:00:00",61.84,62.93,-1.0899999999999963
"2023-03-27 21:00:00",60.14,62.58,-2.4399999999999977
"2023-03-27 22:00:00",59.3,62.49,-3.190000000000005
"2023-03-27 23:00:00",59.34,62.47,-3.1299999999999955
"2023-03-28 00:00:00",59.32,62.5,-3.1799999999999997
"2023-03-28 01:00:00",59.29,62.54,-3.25
"2023-03-28 02:00:00",59.48,62.38,-2.9000000000000057
"2023-03-28 03:00:00",59.39,62.04,-2.6499999999999986
"2023-03-28 04:00:00",59.01,62.02,-3.010000000000005
"2023-03-28 05:00:00",58.83,62.07,-3.240000000000002
"2023-03-28 06:00:00",57.97,62.12,-4.149999999999999
"2023-03-28 07:00:00",57.53,62.17,-4.640000000000001
"2023-03-28 08:00:00",57.26,62.11,-4.850000000000001
"2023-03-28 09:00:00",56.59,62.13,-5.539999999999999
"2023-03-28 10:00:00",57.63,62.15,-4.519999999999996
"2023-03-28 11:00:00",57.41,62.08,-4.670000000000002
"2023-03-28 12:00:00",57.13,63,-5.869999999999997
"2023-03-28 13:00:00",58.38,62.97,-4.589999999999996
"2023-03-28 14:00:00",58.56,62.96,-4.399999999999999
"2023-03-28 15:00:00",58.07,60.32,-2.25
"2023-03-28 16:00:00",57.55,60.07,-2.520000000000003
"2023-03-28 17:00:00",57.19,59.91,-2.719999999999999
"2023-03-28 18:00:00",55.83,59.84,-4.010000000000005
"2023-03-28 19:00:00",56.49,62.2,-5.710000000000001
"2023-03-28 20:00:00",58.55,61.69,-3.1400000000000006
"2023-03-28 21:00:00",58.52,61.86,-3.3399999999999963
"2023-03-28 22:00:00",58.06,61.89,-3.8299999999999983
"2023-03-28 23:00:00",57.72,61.84,-4.1200000000000045
