"DateTime","Skew 30 Days"
"2023-02-27 05:00:00",6.7
"2023-02-27 05:05:00",6.8
"2023-02-27 05:10:00",6.83
"2023-02-27 05:15:00",6.96
"2023-02-27 05:20:00",7.1
"2023-02-27 05:25:00",7.14
"2023-02-27 05:30:00",6.96
"2023-02-27 05:35:00",6.8
"2023-02-27 05:40:00",6.86
"2023-02-27 05:45:00",6.95
"2023-02-27 05:50:00",7.3
"2023-02-27 05:55:00",6.96
"2023-02-27 06:00:00",6.81
"2023-02-27 06:05:00",7.13
"2023-02-27 06:10:00",7.09
"2023-02-27 06:15:00",7.11
"2023-02-27 06:20:00",7.13
"2023-02-27 06:25:00",7.1
"2023-02-27 06:30:00",7.11
"2023-02-27 06:35:00",7.08
"2023-02-27 06:40:00",6.91
"2023-02-27 06:45:00",6.86
"2023-02-27 06:50:00",6.72
"2023-02-27 06:55:00",7
"2023-02-27 07:00:00",7.19
"2023-02-27 07:05:00",7.36
"2023-02-27 07:10:00",6.92
"2023-02-27 07:15:00",6.86
"2023-02-27 07:20:00",6.78
"2023-02-27 07:25:00",6.77
"2023-02-27 07:30:00",6.6
"2023-02-27 07:35:00",6.55
"2023-02-27 07:40:00",6.73
"2023-02-27 07:45:00",6.44
"2023-02-27 07:50:00",6.22
"2023-02-27 07:55:00",6.03
"2023-02-27 08:00:00",6.13
"2023-02-27 08:05:00",6.19
"2023-02-27 08:10:00",6.51
"2023-02-27 08:15:00",6.63
"2023-02-27 08:20:00",6.63
"2023-02-27 08:25:00",6.69
"2023-02-27 08:30:00",6.77
"2023-02-27 08:35:00",6.71
"2023-02-27 08:40:00",7.11
"2023-02-27 08:45:00",6.73
"2023-02-27 08:50:00",6.54
"2023-02-27 08:55:00",6.62
"2023-02-27 09:00:00",6.95
"2023-02-27 09:05:00",6.41
"2023-02-27 09:10:00",6.34
"2023-02-27 09:15:00",6.51
"2023-02-27 09:20:00",6.27
"2023-02-27 09:25:00",6.21
"2023-02-27 09:30:00",5.99
"2023-02-27 09:35:00",5.79
"2023-02-27 09:40:00",6.21
"2023-02-27 09:45:00",6.4
"2023-02-27 09:50:00",6.77
"2023-02-27 09:55:00",6.9
"2023-02-27 10:00:00",6.59
"2023-02-27 10:05:00",6.61
"2023-02-27 10:10:00",6.78
"2023-02-27 10:15:00",7
"2023-02-27 10:20:00",7.42
"2023-02-27 10:25:00",7.33
"2023-02-27 10:30:00",6.92
"2023-02-27 10:35:00",7.11
"2023-02-27 10:40:00",6.69
"2023-02-27 10:45:00",6.65
"2023-02-27 10:50:00",6.58
"2023-02-27 10:55:00",6.58
"2023-02-27 11:00:00",6.06
"2023-02-27 11:05:00",5.86
"2023-02-27 11:10:00",5.94
"2023-02-27 11:15:00",5.78
"2023-02-27 11:20:00",5.68
"2023-02-27 11:25:00",5.37
"2023-02-27 11:30:00",4.91
"2023-02-27 11:35:00",4.49
"2023-02-27 11:40:00",4.32
"2023-02-27 11:45:00",4.15
"2023-02-27 11:50:00",4.16
"2023-02-27 11:55:00",4.29
"2023-02-27 12:00:00",4.32
"2023-02-27 12:05:00",4.33
"2023-02-27 12:10:00",4.31
"2023-02-27 12:15:00",4.21
"2023-02-27 12:20:00",4.18
"2023-02-27 12:25:00",4.68
"2023-02-27 12:30:00",4.71
"2023-02-27 12:35:00",4.82
"2023-02-27 12:40:00",4.43
"2023-02-27 12:45:00",4.29
"2023-02-27 12:50:00",4.71
"2023-02-27 12:55:00",4.62
"2023-02-27 13:00:00",4.66
"2023-02-27 13:05:00",4.88
"2023-02-27 13:10:00",5.48
"2023-02-27 13:15:00",5.38
"2023-02-27 13:20:00",4.59
"2023-02-27 13:25:00",4.65
"2023-02-27 13:30:00",3.89
"2023-02-27 13:35:00",3.87
"2023-02-27 13:40:00",4.23
"2023-02-27 13:45:00",3.45
"2023-02-27 13:50:00",3.13
"2023-02-27 13:55:00",3.56
"2023-02-27 14:00:00",2.52
"2023-02-27 14:05:00",2.9
"2023-02-27 14:10:00",2.99
"2023-02-27 14:15:00",3.16
"2023-02-27 14:20:00",3.61
"2023-02-27 14:25:00",3.36
"2023-02-27 14:30:00",3.95
"2023-02-27 14:35:00",4.11
"2023-02-27 14:40:00",4.28
"2023-02-27 14:45:00",4.58
"2023-02-27 14:50:00",4.01
"2023-02-27 14:55:00",3.67
"2023-02-27 15:00:00",3.93
"2023-02-27 15:05:00",4.09
"2023-02-27 15:10:00",4.02
"2023-02-27 15:15:00",4.11
"2023-02-27 15:20:00",4.18
"2023-02-27 15:25:00",4.22
"2023-02-27 15:30:00",3.92
"2023-02-27 15:35:00",3.5
"2023-02-27 15:40:00",3.52
"2023-02-27 15:45:00",4.53
"2023-02-27 15:50:00",4.56
"2023-02-27 15:55:00",5.31
"2023-02-27 16:00:00",4.74
"2023-02-27 16:05:00",4.58
"2023-02-27 16:10:00",4.87
"2023-02-27 16:15:00",4.66
"2023-02-27 16:20:00",5.18
"2023-02-27 16:25:00",5.13
"2023-02-27 16:30:00",5.03
"2023-02-27 16:35:00",5.33
"2023-02-27 16:40:00",4.87
"2023-02-27 16:45:00",4.26
"2023-02-27 16:50:00",4.24
"2023-02-27 16:55:00",4.31
"2023-02-27 17:00:00",4.04
"2023-02-27 17:05:00",4.23
"2023-02-27 17:10:00",4.17
"2023-02-27 17:15:00",4.16
"2023-02-27 17:20:00",4.42
"2023-02-27 17:25:00",4.16
"2023-02-27 17:30:00",3.86
"2023-02-27 17:35:00",3.71
"2023-02-27 17:40:00",4.17
"2023-02-27 17:45:00",4.32
"2023-02-27 17:50:00",4.22
"2023-02-27 17:55:00",4
"2023-02-27 18:00:00",3.89
"2023-02-27 18:05:00",3.93
"2023-02-27 18:10:00",3.64
"2023-02-27 18:15:00",3.33
"2023-02-27 18:20:00",3.79
"2023-02-27 18:25:00",3.99
"2023-02-27 18:30:00",3.67
"2023-02-27 18:35:00",3.35
"2023-02-27 18:40:00",3.44
