"DateTime","Skew 30 Days"
"2023-03-25 00:00:00",-0.219
"2023-03-25 00:30:00",-0.418
"2023-03-25 01:00:00",-0.335
"2023-03-25 01:30:00",-0.356
"2023-03-25 02:00:00",-0.597
"2023-03-25 02:30:00",-0.208
"2023-03-25 03:00:00",-0.209
"2023-03-25 03:30:00",-0.241
"2023-03-25 04:00:00",-0.352
"2023-03-25 04:30:00",-0.474
"2023-03-25 05:00:00",-0.318
"2023-03-25 05:30:00",-0.359
"2023-03-25 06:00:00",-0.821
"2023-03-25 06:30:00",-0.806
"2023-03-25 07:00:00",-0.2
"2023-03-25 07:30:00",-0.301
"2023-03-25 08:00:00",-0.356
"2023-03-25 08:30:00",0.312
"2023-03-25 09:00:00",0.668
"2023-03-25 09:30:00",0.89
"2023-03-25 10:00:00",0.671
"2023-03-25 10:30:00",1.09
"2023-03-25 11:00:00",1.08
"2023-03-25 11:30:00",0.459
"2023-03-25 12:00:00",0.676
"2023-03-25 12:30:00",0.671
"2023-03-25 13:00:00",0.607
"2023-03-25 13:30:00",0.793
"2023-03-25 14:00:00",-0.0221
"2023-03-25 14:30:00",-0.311
"2023-03-25 15:00:00",-0.0123
"2023-03-25 15:30:00",-0.173
"2023-03-25 16:00:00",0.098
"2023-03-25 16:30:00",-0.508
"2023-03-25 17:00:00",-0.292
"2023-03-25 17:30:00",1.1
"2023-03-25 18:00:00",1.34
"2023-03-25 18:30:00",1.88
"2023-03-25 19:00:00",2.2
"2023-03-25 19:30:00",1.03
"2023-03-25 20:00:00",0.685
"2023-03-25 20:30:00",1.55
"2023-03-25 21:00:00",3.29
"2023-03-25 21:30:00",3.08
"2023-03-25 22:00:00",2.96
"2023-03-25 22:30:00",3.42
"2023-03-25 23:00:00",3.32
"2023-03-25 23:30:00",3.75
"2023-03-26 00:00:00",3.9
"2023-03-26 00:30:00",3.11
"2023-03-26 01:00:00",2.91
"2023-03-26 01:30:00",3.07
"2023-03-26 02:00:00",3.08
"2023-03-26 02:30:00",3.07
"2023-03-26 03:00:00",3.08
"2023-03-26 03:30:00",3.13
"2023-03-26 04:00:00",3.32
"2023-03-26 04:30:00",3.54
"2023-03-26 05:00:00",3.48
"2023-03-26 05:30:00",3.88
"2023-03-26 06:00:00",2.86
"2023-03-26 06:30:00",3.42
"2023-03-26 07:00:00",3.36
"2023-03-26 07:30:00",3.34
"2023-03-26 08:00:00",3.2
"2023-03-26 08:30:00",3.82
"2023-03-26 09:00:00",2.85
"2023-03-26 09:30:00",1.52
"2023-03-26 10:00:00",2.14
"2023-03-26 10:30:00",3.3
"2023-03-26 11:00:00",3.07
"2023-03-26 11:30:00",2.73
"2023-03-26 12:00:00",2.03
"2023-03-26 12:30:00",2.02
"2023-03-26 13:00:00",1.82
"2023-03-26 13:30:00",1.8
"2023-03-26 14:00:00",2.16
"2023-03-26 14:30:00",2.51
"2023-03-26 15:00:00",2.59
"2023-03-26 15:30:00",2.32
"2023-03-26 16:00:00",1.89
"2023-03-26 16:30:00",2.22
"2023-03-26 17:00:00",2.81
"2023-03-26 17:30:00",2.58
"2023-03-26 18:00:00",2.67
"2023-03-26 18:30:00",3.23
"2023-03-26 19:00:00",2.92
