"DateTime","Implied Volatility","Realized Volatility","Spread"
"2023-03-17 00:00:00",62.74,81.3,-18.559999999999995
"2023-03-17 01:00:00",61.69,80.8,-19.11
"2023-03-17 02:00:00",63.83,83.33,-19.5
"2023-03-17 03:00:00",67.6,83.33,-15.730000000000004
"2023-03-17 04:00:00",68.14,83.46,-15.319999999999993
"2023-03-17 05:00:00",68.26,83.17,-14.909999999999997
"2023-03-17 06:00:00",67.88,83.11,-15.230000000000004
"2023-03-17 07:00:00",71.97,83.47,-11.5
"2023-03-17 08:00:00",68.09,83.52,-15.429999999999993
"2023-03-17 09:00:00",67.81,83.56,-15.75
"2023-03-17 10:00:00",69.88,83.6,-13.719999999999999
"2023-03-17 11:00:00",74.58,83.82,-9.239999999999995
"2023-03-17 12:00:00",73.76,83.85,-10.08999999999999
"2023-03-17 13:00:00",72.59,84.19,-11.599999999999994
"2023-03-17 14:00:00",71.23,84.04,-12.810000000000002
"2023-03-17 15:00:00",67.27,83,-15.730000000000004
"2023-03-17 16:00:00",67,82.86,-15.86
"2023-03-17 17:00:00",67.31,82.88,-15.569999999999993
"2023-03-17 18:00:00",65.58,82.78,-17.200000000000003
"2023-03-17 19:00:00",66.59,82.7,-16.11
"2023-03-17 20:00:00",70.26,82.67,-12.409999999999997
"2023-03-17 21:00:00",69.45,82.66,-13.209999999999994
"2023-03-17 22:00:00",70.96,82.96,-12
"2023-03-17 23:00:00",77.61,83.53,-5.920000000000002
"2023-03-18 00:00:00",72.96,83.65,-10.690000000000012
"2023-03-18 01:00:00",71.01,83.78,-12.769999999999996
"2023-03-18 02:00:00",68.58,83.43,-14.850000000000009
"2023-03-18 03:00:00",68.75,83.34,-14.590000000000003
"2023-03-18 04:00:00",69.63,83.21,-13.579999999999998
"2023-03-18 05:00:00",69.64,83.15,-13.510000000000005
"2023-03-18 06:00:00",69.35,83.31,-13.960000000000008
"2023-03-18 07:00:00",70.26,83.22,-12.959999999999994
"2023-03-18 08:00:00",71.65,81.63,-9.97999999999999
"2023-03-18 09:00:00",69.87,81.52,-11.649999999999991
"2023-03-18 10:00:00",69.39,81.59,-12.200000000000003
"2023-03-18 11:00:00",70.81,81.52,-10.709999999999994
"2023-03-18 12:00:00",70.11,81.54,-11.430000000000007
"2023-03-18 13:00:00",70.77,81.47,-10.700000000000003
"2023-03-18 14:00:00",69.75,81.56,-11.810000000000002
"2023-03-18 15:00:00",70.15,81.57,-11.419999999999987
"2023-03-18 16:00:00",71.08,82.03,-10.950000000000003
"2023-03-18 17:00:00",74.36,82.05,-7.689999999999998
"2023-03-18 18:00:00",74.35,81.97,-7.6200000000000045
"2023-03-18 19:00:00",74.19,81.95,-7.760000000000005
"2023-03-18 20:00:00",73.43,81.95,-8.519999999999996
"2023-03-18 21:00:00",73.27,81.9,-8.63000000000001
"2023-03-18 22:00:00",73.55,82.02,-8.469999999999999
"2023-03-18 23:00:00",73.21,82.46,-9.25
"2023-03-19 00:00:00",72.86,82.41,-9.549999999999997
"2023-03-19 01:00:00",72.44,82.47,-10.030000000000001
"2023-03-19 02:00:00",72.23,82.43,-10.200000000000003
"2023-03-19 03:00:00",72.19,82.39,-10.200000000000003
"2023-03-19 04:00:00",72.22,82.39,-10.170000000000002
"2023-03-19 05:00:00",71.56,82.43,-10.870000000000005
"2023-03-19 06:00:00",71.5,82.47,-10.969999999999999
"2023-03-19 07:00:00",71.58,82.57,-10.989999999999995
"2023-03-19 08:00:00",70.96,82.57,-11.61
"2023-03-19 09:00:00",68.74,82.57,-13.829999999999998
"2023-03-19 10:00:00",72.04,82.57,-10.529999999999987
"2023-03-19 11:00:00",72.36,82.57,-10.209999999999994
"2023-03-19 12:00:00",73.65,82.59,-8.939999999999998
"2023-03-19 13:00:00",74.01,82.52,-8.509999999999991
