"DateTime","Skew 30 Days"
"2023-02-26 18:00:00",7.8
"2023-02-26 18:05:00",7.49
"2023-02-26 18:10:00",7.38
"2023-02-26 18:15:00",7.28
"2023-02-26 18:20:00",7.25
"2023-02-26 18:25:00",7.2
"2023-02-26 18:30:00",6.98
"2023-02-26 18:35:00",6.87
"2023-02-26 18:40:00",7.63
"2023-02-26 18:45:00",6.87
"2023-02-26 18:50:00",7.1
"2023-02-26 18:55:00",7.48
"2023-02-26 19:00:00",7.77
"2023-02-26 19:05:00",7.87
"2023-02-26 19:10:00",8.31
"2023-02-26 19:15:00",8.12
"2023-02-26 19:20:00",9.04
"2023-02-26 19:25:00",9.02
"2023-02-26 19:30:00",9.01
"2023-02-26 19:35:00",8.87
"2023-02-26 19:40:00",8.87
"2023-02-26 19:45:00",9.05
"2023-02-26 19:50:00",8.26
"2023-02-26 19:55:00",8
"2023-02-26 20:00:00",8.14
"2023-02-26 20:05:00",9.07
"2023-02-26 20:10:00",8.87
"2023-02-26 20:15:00",9.32
"2023-02-26 20:20:00",9.2
"2023-02-26 20:25:00",8.93
"2023-02-26 20:30:00",9.03
"2023-02-26 20:35:00",7.65
"2023-02-26 20:40:00",6.95
"2023-02-26 20:45:00",6.23
"2023-02-26 20:50:00",6.55
"2023-02-26 20:55:00",6.45
"2023-02-26 21:00:00",6.56
"2023-02-26 21:05:00",6.7
"2023-02-26 21:10:00",7.13
"2023-02-26 21:15:00",6.44
"2023-02-26 21:20:00",6.8
"2023-02-26 21:25:00",7.01
"2023-02-26 21:30:00",7.14
"2023-02-26 21:35:00",6.76
"2023-02-26 21:40:00",6.4
"2023-02-26 21:45:00",7.17
"2023-02-26 21:50:00",7.22
"2023-02-26 21:55:00",7.3
"2023-02-26 22:00:00",7.03
"2023-02-26 22:05:00",7
"2023-02-26 22:10:00",6.85
"2023-02-26 22:15:00",6.96
"2023-02-26 22:20:00",7.33
"2023-02-26 22:25:00",7.58
"2023-02-26 22:30:00",7.48
"2023-02-26 22:35:00",7.71
"2023-02-26 22:40:00",7.4
"2023-02-26 22:45:00",6.97
"2023-02-26 22:50:00",7.38
"2023-02-26 22:55:00",7.33
"2023-02-26 23:00:00",7.21
"2023-02-26 23:05:00",7.01
"2023-02-26 23:10:00",7.16
"2023-02-26 23:15:00",6.76
"2023-02-26 23:20:00",7
"2023-02-26 23:25:00",7.09
"2023-02-26 23:30:00",6.83
"2023-02-26 23:35:00",7.02
"2023-02-26 23:40:00",7
"2023-02-26 23:45:00",6.96
"2023-02-26 23:50:00",7.14
"2023-02-26 23:55:00",7.27
"2023-02-27 00:00:00",7.21
"2023-02-27 00:05:00",7.2
"2023-02-27 00:10:00",7.2
"2023-02-27 00:15:00",7.24
"2023-02-27 00:20:00",7.23
"2023-02-27 00:25:00",7.24
"2023-02-27 00:30:00",7.28
"2023-02-27 00:35:00",6.91
"2023-02-27 00:40:00",7.12
"2023-02-27 00:45:00",7.03
"2023-02-27 00:50:00",6.68
"2023-02-27 00:55:00",6.73
"2023-02-27 01:00:00",6.64
"2023-02-27 01:05:00",7
"2023-02-27 01:10:00",7.3
"2023-02-27 01:15:00",7.3
"2023-02-27 01:20:00",7.83
"2023-02-27 01:25:00",7.34
"2023-02-27 01:30:00",8.08
"2023-02-27 01:35:00",8.16
"2023-02-27 01:40:00",8.2
"2023-02-27 01:45:00",7.94
"2023-02-27 01:50:00",7.87
"2023-02-27 01:55:00",7.84
"2023-02-27 02:00:00",7.99
"2023-02-27 02:05:00",7.68
"2023-02-27 02:10:00",8.02
"2023-02-27 02:15:00",7.1
"2023-02-27 02:20:00",6.84
"2023-02-27 02:25:00",7.22
"2023-02-27 02:30:00",7.35
"2023-02-27 02:35:00",7.22
"2023-02-27 02:40:00",7.55
"2023-02-27 02:45:00",7.69
"2023-02-27 02:50:00",7.8
"2023-02-27 02:55:00",7.39
"2023-02-27 03:00:00",7.3
