"DateTime","Skew 30 Days"
"2023-03-01 00:00:00",6.24
"2023-03-01 02:00:00",6.34
"2023-03-01 04:00:00",5.39
"2023-03-01 06:00:00",3.34
"2023-03-01 08:00:00",3.07
"2023-03-01 10:00:00",2.8
"2023-03-01 12:00:00",2.8
"2023-03-01 14:00:00",3.27
"2023-03-01 16:00:00",2.53
"2023-03-01 18:00:00",3.1
"2023-03-01 20:00:00",4.1
"2023-03-01 22:00:00",2.89
"2023-03-02 00:00:00",2.98
"2023-03-02 02:00:00",3.66
"2023-03-02 04:00:00",5.47
"2023-03-02 06:00:00",5.68
"2023-03-02 08:00:00",6.44
"2023-03-02 10:00:00",7.7
"2023-03-02 12:00:00",7.48
"2023-03-02 14:00:00",7.68
"2023-03-02 16:00:00",6.81
"2023-03-02 18:00:00",7.17
"2023-03-02 20:00:00",5.48
"2023-03-02 22:00:00",5.39
"2023-03-03 00:00:00",6.54
"2023-03-03 02:00:00",7.33
"2023-03-03 04:00:00",6.54
"2023-03-03 06:00:00",6.7
"2023-03-03 08:00:00",9.15
"2023-03-03 10:00:00",9.42
"2023-03-03 12:00:00",6.82
"2023-03-03 14:00:00",7.83
"2023-03-03 16:00:00",7.66
"2023-03-03 18:00:00",5.58
"2023-03-03 20:00:00",6.78
"2023-03-03 22:00:00",7
"2023-03-04 00:00:00",6.85
"2023-03-04 02:00:00",8.16
"2023-03-04 04:00:00",7.68
"2023-03-04 06:00:00",7.08
"2023-03-04 08:00:00",6.22
"2023-03-04 10:00:00",7.68
"2023-03-04 12:00:00",6.97
"2023-03-04 14:00:00",6.52
"2023-03-04 16:00:00",6.54
"2023-03-04 18:00:00",7.18
"2023-03-04 20:00:00",7.04
"2023-03-04 22:00:00",7.33
"2023-03-05 00:00:00",7.86
"2023-03-05 02:00:00",6.07
"2023-03-05 04:00:00",5.67
"2023-03-05 06:00:00",8.08
"2023-03-05 08:00:00",6.95
"2023-03-05 10:00:00",6.76
"2023-03-05 12:00:00",7.4
"2023-03-05 14:00:00",7.83
"2023-03-05 16:00:00",7.34
"2023-03-05 18:00:00",7.88
"2023-03-05 20:00:00",7.24
"2023-03-05 22:00:00",6.83
"2023-03-06 00:00:00",8.48
"2023-03-06 02:00:00",8.43
"2023-03-06 04:00:00",8.95
"2023-03-06 06:00:00",8.24
"2023-03-06 08:00:00",8.62
"2023-03-06 10:00:00",8.69
"2023-03-06 12:00:00",6.99
"2023-03-06 14:00:00",7.75
"2023-03-06 16:00:00",7.8
"2023-03-06 18:00:00",6.9
"2023-03-06 20:00:00",6.89
"2023-03-06 22:00:00",6.66
"2023-03-07 00:00:00",7.01
"2023-03-07 02:00:00",6.92
"2023-03-07 04:00:00",6.93
"2023-03-07 06:00:00",5.77
"2023-03-07 08:00:00",6.03
"2023-03-07 10:00:00",6.25
"2023-03-07 12:00:00",8.05
"2023-03-07 14:00:00",7.25
"2023-03-07 16:00:00",7.26
"2023-03-07 18:00:00",8.1
"2023-03-07 20:00:00",8.36
"2023-03-07 22:00:00",8.33
"2023-03-08 00:00:00",7.61
"2023-03-08 02:00:00",7.58
"2023-03-08 04:00:00",8.13
"2023-03-08 06:00:00",10.01
"2023-03-08 08:00:00",10.85
"2023-03-08 10:00:00",10.82
"2023-03-08 12:00:00",9.81
"2023-03-08 14:00:00",10.97
"2023-03-08 16:00:00",9.27
"2023-03-08 18:00:00",9.39
"2023-03-08 20:00:00",10.72
"2023-03-08 22:00:00",10.41
"2023-03-09 00:00:00",11.22
"2023-03-09 02:00:00",10.89
"2023-03-09 04:00:00",9.09
"2023-03-09 06:00:00",9.63
"2023-03-09 08:00:00",7.52
"2023-03-09 10:00:00",9.09
"2023-03-09 12:00:00",8.7
"2023-03-09 14:00:00",9.62
"2023-03-09 16:00:00",9.9
"2023-03-09 18:00:00",8.84
"2023-03-09 20:00:00",11.68
"2023-03-09 22:00:00",11.93
"2023-03-10 00:00:00",13.08
"2023-03-10 02:00:00",14.51
"2023-03-10 04:00:00",14.42
"2023-03-10 06:00:00",17.47
"2023-03-10 08:00:00",20.06
"2023-03-10 10:00:00",20.75
"2023-03-10 12:00:00",21.76
"2023-03-10 14:00:00",17.74
"2023-03-10 16:00:00",18.26
"2023-03-10 18:00:00",18.19
"2023-03-10 20:00:00",17.19
"2023-03-10 22:00:00",17.42
"2023-03-11 00:00:00",17.1
"2023-03-11 02:00:00",14.56
"2023-03-11 04:00:00",15.57
"2023-03-11 06:00:00",19.96
"2023-03-11 08:00:00",19.8
"2023-03-11 10:00:00",23.63
"2023-03-11 12:00:00",21.54
"2023-03-11 14:00:00",23.36
"2023-03-11 16:00:00",23.69
"2023-03-11 18:00:00",26.59
"2023-03-11 20:00:00",24.53
"2023-03-11 22:00:00",23.63
"2023-03-12 00:00:00",23.04
"2023-03-12 02:00:00",25.99
"2023-03-12 04:00:00",24.57
"2023-03-12 06:00:00",22.93
"2023-03-12 08:00:00",25.09
"2023-03-12 10:00:00",25.57
"2023-03-12 12:00:00",22.84
"2023-03-12 14:00:00",24.19
"2023-03-12 16:00:00",24.49
"2023-03-12 18:00:00",19.34
"2023-03-12 20:00:00",19.81
"2023-03-12 22:00:00",18.08
"2023-03-13 00:00:00",14.82
"2023-03-13 02:00:00",13.55
"2023-03-13 04:00:00",11.53
"2023-03-13 06:00:00",11.72
"2023-03-13 08:00:00",7.2
"2023-03-13 10:00:00",8.72
"2023-03-13 12:00:00",10.03
"2023-03-13 14:00:00",8.78
"2023-03-13 16:00:00",5.73
"2023-03-13 18:00:00",3.2
"2023-03-13 20:00:00",3.59
"2023-03-13 22:00:00",3.48
"2023-03-14 00:00:00",1.55
"2023-03-14 02:00:00",1.19
"2023-03-14 04:00:00",-0.614
"2023-03-14 06:00:00",-0.915
"2023-03-14 08:00:00",0.038
"2023-03-14 10:00:00",1.08
"2023-03-14 12:00:00",-0.702
"2023-03-14 14:00:00",2.37
"2023-03-14 16:00:00",1.84
"2023-03-14 18:00:00",1.4
"2023-03-14 20:00:00",3.17
"2023-03-14 22:00:00",6.54
"2023-03-15 00:00:00",5.48
"2023-03-15 02:00:00",4.67
"2023-03-15 04:00:00",6.32
"2023-03-15 06:00:00",6.68
"2023-03-15 08:00:00",5.53
"2023-03-15 10:00:00",6.28
"2023-03-15 12:00:00",6.59
"2023-03-15 14:00:00",2.81
"2023-03-15 16:00:00",4.58
"2023-03-15 18:00:00",7.37
"2023-03-15 20:00:00",5.15
"2023-03-15 22:00:00",4.19
"2023-03-16 00:00:00",4.12
"2023-03-16 02:00:00",1.95
"2023-03-16 04:00:00",2.38
"2023-03-16 06:00:00",3.86
"2023-03-16 08:00:00",3.19
"2023-03-16 10:00:00",3.44
"2023-03-16 12:00:00",3.22
"2023-03-16 14:00:00",2.99
"2023-03-16 16:00:00",3.32
"2023-03-16 18:00:00",2.91
"2023-03-16 20:00:00",1.51
"2023-03-16 22:00:00",2.65
"2023-03-17 00:00:00",1.2
"2023-03-17 02:00:00",-0.0468
"2023-03-17 04:00:00",-0.747
"2023-03-17 06:00:00",-0.641
"2023-03-17 08:00:00",-2.23
"2023-03-17 10:00:00",-0.285
"2023-03-17 12:00:00",-3.03
"2023-03-17 14:00:00",-2.44
"2023-03-17 16:00:00",-1.13
"2023-03-17 18:00:00",-1.16
"2023-03-17 20:00:00",-5.24
"2023-03-17 22:00:00",-5.06
"2023-03-18 00:00:00",-6.24
"2023-03-18 02:00:00",-6.15
"2023-03-18 04:00:00",-4.87
"2023-03-18 06:00:00",-4.84
"2023-03-18 08:00:00",-8.77
"2023-03-18 10:00:00",-8.42
"2023-03-18 12:00:00",-7.55
"2023-03-18 14:00:00",-8.26
"2023-03-18 16:00:00",-9.15
"2023-03-18 18:00:00",-7.24
"2023-03-18 20:00:00",-7.05
"2023-03-18 22:00:00",-7.54
"2023-03-19 00:00:00",-7.28
"2023-03-19 02:00:00",-5.76
"2023-03-19 04:00:00",-5.26
"2023-03-19 06:00:00",-8.43
"2023-03-19 08:00:00",-6.7
"2023-03-19 10:00:00",-5.45
"2023-03-19 12:00:00",-6.77
"2023-03-19 14:00:00",-7.37
"2023-03-19 16:00:00",-7.37
"2023-03-19 18:00:00",-9.73
"2023-03-19 20:00:00",-9.62
"2023-03-19 22:00:00",-10.13
"2023-03-20 00:00:00",-11.56
"2023-03-20 02:00:00",-10.95
"2023-03-20 04:00:00",-11.06
"2023-03-20 06:00:00",-9.39
"2023-03-20 08:00:00",-9.33
"2023-03-20 10:00:00",-9.92
"2023-03-20 12:00:00",-9.33
"2023-03-20 14:00:00",-8.67
"2023-03-20 16:00:00",-7.29
"2023-03-20 18:00:00",-7.25
"2023-03-20 20:00:00",-7.86
"2023-03-20 22:00:00",-8.59
"2023-03-21 00:00:00",-9.99
"2023-03-21 02:00:00",-8.12
"2023-03-21 04:00:00",-8.32
"2023-03-21 06:00:00",-8.96
"2023-03-21 08:00:00",-9.47
"2023-03-21 10:00:00",-8.65
"2023-03-21 12:00:00",-7.77
"2023-03-21 14:00:00",-11.44
"2023-03-21 16:00:00",-10.85
"2023-03-21 18:00:00",-11.63
"2023-03-21 20:00:00",-11.53
"2023-03-21 22:00:00",-10.44
"2023-03-22 00:00:00",-10.86
"2023-03-22 02:00:00",-14.64
"2023-03-22 04:00:00",-13.83
"2023-03-22 06:00:00",-13.68
"2023-03-22 08:00:00",-13.52
"2023-03-22 10:00:00",-13.93
"2023-03-22 12:00:00",-13.15
"2023-03-22 14:00:00",-12.96
"2023-03-22 16:00:00",-10.1
"2023-03-22 18:00:00",-10.6
"2023-03-22 20:00:00",-5
"2023-03-22 22:00:00",-4.68
"2023-03-23 00:00:00",-2.18
"2023-03-23 02:00:00",-2.8
"2023-03-23 04:00:00",-2.3
"2023-03-23 06:00:00",-2.94
"2023-03-23 08:00:00",-3.35
"2023-03-23 10:00:00",-4.15
"2023-03-24 12:00:00",-3.56
"2023-03-24 14:00:00",-1.89
"2023-03-24 16:00:00",-2.51
"2023-03-24 18:00:00",-1.55
"2023-03-24 20:00:00",-1.62
