"DateTime","Skew 30 Days"
"2023-02-01 00:00:00",-2.13
"2023-02-01 02:00:00",-4.07
"2023-02-01 04:00:00",-4.54
"2023-02-01 06:00:00",-3.78
"2023-02-01 08:00:00",-2.65
"2023-02-01 10:00:00",-2.09
"2023-02-01 12:00:00",-3.13
"2023-02-01 14:00:00",-3.78
"2023-02-01 16:00:00",-3.14
"2023-02-01 18:00:00",-2.66
"2023-02-01 20:00:00",-3.86
"2023-02-01 22:00:00",-4.73
"2023-02-02 00:00:00",-5.34
"2023-02-02 02:00:00",-5.4
"2023-02-02 04:00:00",-4.43
"2023-02-02 06:00:00",-4.45
"2023-02-02 08:00:00",-3.97
"2023-02-02 10:00:00",-4.58
"2023-02-02 12:00:00",-4.78
"2023-02-02 14:00:00",-4.89
"2023-02-02 16:00:00",-3.14
"2023-02-02 18:00:00",-4.34
"2023-02-02 20:00:00",-4.49
"2023-02-02 22:00:00",-2.79
"2023-02-03 00:00:00",-2.58
"2023-02-03 02:00:00",-2.61
"2023-02-03 04:00:00",-2.69
"2023-02-03 06:00:00",-2.06
"2023-02-03 08:00:00",-2.18
"2023-02-03 10:00:00",-0.809
"2023-02-03 12:00:00",-1.22
"2023-02-03 14:00:00",-1.44
"2023-02-03 16:00:00",-2.84
"2023-02-03 18:00:00",-1.76
"2023-02-03 20:00:00",-2.6
"2023-02-03 22:00:00",-2.68
"2023-02-04 00:00:00",-1.49
"2023-02-04 02:00:00",-2.05
"2023-02-04 04:00:00",-0.292
"2023-02-04 06:00:00",-0.167
"2023-02-04 08:00:00",-0.406
"2023-02-04 10:00:00",0.319
"2023-02-04 12:00:00",0.747
"2023-02-04 14:00:00",-1.35
"2023-02-04 16:00:00",-1.63
"2023-02-04 18:00:00",-1.18
"2023-02-04 20:00:00",-1.36
"2023-02-04 22:00:00",-1.75
"2023-02-05 00:00:00",-0.821
"2023-02-05 02:00:00",-0.859
"2023-02-05 04:00:00",-0.138
"2023-02-05 06:00:00",0.758
"2023-02-05 08:00:00",1.37
"2023-02-05 10:00:00",0.211
"2023-02-05 12:00:00",1.8
"2023-02-05 14:00:00",1.15
"2023-02-05 16:00:00",1.72
"2023-02-05 18:00:00",2.33
"2023-02-05 20:00:00",2.23
"2023-02-05 22:00:00",2.29
"2023-02-06 00:00:00",1.98
"2023-02-06 02:00:00",1.04
"2023-02-06 04:00:00",1.05
"2023-02-06 06:00:00",0.413
"2023-02-06 08:00:00",0.11
"2023-02-06 10:00:00",0.188
"2023-02-06 12:00:00",0.196
"2023-02-06 14:00:00",1.44
"2023-02-06 16:00:00",1.04
"2023-02-06 18:00:00",1.81
"2023-02-06 20:00:00",1.18
"2023-02-06 22:00:00",1.86
"2023-02-07 00:00:00",1.33
"2023-02-07 02:00:00",0.716
"2023-02-07 04:00:00",1.55
"2023-02-07 06:00:00",1.7
"2023-02-07 08:00:00",1.99
"2023-02-07 10:00:00",2.13
"2023-02-07 12:00:00",2.71
"2023-02-07 14:00:00",1.42
"2023-02-07 16:00:00",0.708
"2023-02-07 18:00:00",0.00573
"2023-02-07 20:00:00",0.825
"2023-02-07 22:00:00",1.25
"2023-02-08 00:00:00",1.22
"2023-02-08 02:00:00",-1.73
"2023-02-08 04:00:00",-1.51
"2023-02-08 06:00:00",-0.967
"2023-02-08 08:00:00",-1.03
"2023-02-08 10:00:00",-1.56
"2023-02-08 12:00:00",-0.318
"2023-02-08 14:00:00",-0.291
"2023-02-08 16:00:00",1.74
"2023-02-08 18:00:00",1.7
"2023-02-08 20:00:00",2.34
"2023-02-08 22:00:00",2.1
"2023-02-09 00:00:00",1.37
"2023-02-09 02:00:00",2.22
"2023-02-09 04:00:00",3.6
"2023-02-09 06:00:00",2.89
"2023-02-09 08:00:00",3.28
"2023-02-09 10:00:00",3.24
"2023-02-09 12:00:00",3.09
"2023-02-09 14:00:00",2.91
"2023-02-09 16:00:00",2.91
"2023-02-09 18:00:00",3.61
"2023-02-09 20:00:00",4.11
"2023-02-09 22:00:00",5.35
"2023-02-10 00:00:00",6
"2023-02-10 02:00:00",5.13
"2023-02-10 04:00:00",5.19
"2023-02-10 06:00:00",5.53
"2023-02-10 08:00:00",5.96
"2023-02-10 10:00:00",4.44
"2023-02-10 12:00:00",4.73
"2023-02-10 14:00:00",4.65
"2023-02-10 16:00:00",4.22
"2023-02-10 18:00:00",4.59
"2023-02-10 20:00:00",5.32
"2023-02-10 22:00:00",4.73
"2023-02-11 00:00:00",4.61
"2023-02-11 02:00:00",5.36
"2023-02-11 04:00:00",4.07
"2023-02-11 06:00:00",5.35
"2023-02-11 08:00:00",4.57
"2023-02-11 10:00:00",4.59
"2023-02-11 12:00:00",5.36
"2023-02-11 14:00:00",4.62
"2023-02-11 16:00:00",4.79
"2023-02-11 18:00:00",4.54
"2023-02-11 20:00:00",3.05
"2023-02-11 22:00:00",3.52
"2023-02-12 00:00:00",3.56
"2023-02-12 02:00:00",2.91
"2023-02-12 04:00:00",2.52
"2023-02-12 06:00:00",1.92
"2023-02-12 08:00:00",2.4
"2023-02-12 10:00:00",1.85
"2023-02-12 12:00:00",1.52
"2023-02-12 14:00:00",1.95
"2023-02-12 16:00:00",1.42
"2023-02-12 18:00:00",0.211
"2023-02-12 20:00:00",-0.345
"2023-02-12 22:00:00",0.507
"2023-02-13 00:00:00",0.811
"2023-02-13 02:00:00",2.17
"2023-02-13 04:00:00",0.847
"2023-02-13 06:00:00",1.3
"2023-02-13 08:00:00",-0.485
"2023-02-13 10:00:00",1.02
"2023-02-13 12:00:00",1.78
"2023-02-13 14:00:00",1.9
"2023-02-13 16:00:00",2.94
"2023-02-13 18:00:00",2.36
"2023-02-13 20:00:00",2.14
"2023-02-13 22:00:00",2.53
"2023-02-14 00:00:00",6.26
"2023-02-14 02:00:00",5.75
"2023-02-14 04:00:00",5.17
"2023-02-14 06:00:00",5.38
"2023-02-14 08:00:00",5.59
"2023-02-14 10:00:00",6.42
"2023-02-14 12:00:00",6.37
"2023-02-14 14:00:00",4.82
"2023-02-14 16:00:00",3.65
"2023-02-14 18:00:00",5.2
"2023-02-14 20:00:00",3.5
"2023-02-14 22:00:00",2.28
"2023-02-15 00:00:00",1.49
"2023-02-15 02:00:00",1.6
"2023-02-15 04:00:00",1.59
"2023-02-15 06:00:00",1.69
"2023-02-15 08:00:00",2.24
"2023-02-15 10:00:00",3.62
"2023-02-15 12:00:00",3.6
"2023-02-15 14:00:00",2.23
"2023-02-15 16:00:00",-0.142
"2023-02-15 18:00:00",-0.235
"2023-02-15 20:00:00",-0.293
"2023-02-15 22:00:00",-3.02
"2023-02-16 00:00:00",-1.88
"2023-02-16 02:00:00",0.375
"2023-02-16 04:00:00",0.151
"2023-02-16 06:00:00",-0.081
"2023-02-16 08:00:00",0.86
"2023-02-16 10:00:00",0.922
"2023-02-16 12:00:00",0.493
"2023-02-16 14:00:00",1.61
"2023-02-16 16:00:00",-1.13
"2023-02-16 18:00:00",-0.667
"2023-02-16 20:00:00",-0.57
"2023-02-16 22:00:00",1
"2023-02-17 00:00:00",2.51
"2023-02-17 02:00:00",1.07
"2023-02-17 04:00:00",0.874
"2023-02-17 06:00:00",0.89
"2023-02-17 08:00:00",1.56
"2023-02-17 10:00:00",0.997
"2023-02-17 12:00:00",0.0637
"2023-02-17 14:00:00",-0.118
"2023-02-17 16:00:00",-1.3
"2023-02-17 18:00:00",-3.65
"2023-02-17 20:00:00",-4.96
"2023-02-17 22:00:00",-3.41
"2023-02-18 00:00:00",-4.25
"2023-02-18 02:00:00",-4.86
"2023-02-18 04:00:00",-4.49
"2023-02-18 06:00:00",-4.54
"2023-02-18 08:00:00",-4.58
"2023-02-18 10:00:00",-4.1
"2023-02-18 12:00:00",-3.84
"2023-02-18 14:00:00",-3.54
"2023-02-18 16:00:00",-3.68
"2023-02-18 18:00:00",-3.52
"2023-02-18 20:00:00",-3.31
"2023-02-18 22:00:00",-3.66
"2023-02-19 00:00:00",-3.73
"2023-02-19 02:00:00",-3.31
"2023-02-19 04:00:00",-3.91
"2023-02-19 06:00:00",-4.34
"2023-02-19 08:00:00",-2.7
"2023-02-19 10:00:00",-3.17
"2023-02-19 12:00:00",-4.5
"2023-02-19 14:00:00",-6.39
"2023-02-19 16:00:00",-5.55
"2023-02-19 18:00:00",-3.54
"2023-02-19 20:00:00",-3.96
"2023-02-19 22:00:00",-4.16
"2023-02-20 00:00:00",-3.3
"2023-02-20 02:00:00",-4.23
"2023-02-20 04:00:00",-3.92
"2023-02-20 06:00:00",-3.63
"2023-02-20 08:00:00",-4.22
"2023-02-20 10:00:00",-5.45
"2023-02-20 12:00:00",-6.04
"2023-02-20 14:00:00",-6.1
"2023-02-20 16:00:00",-5.57
"2023-02-20 18:00:00",-5.47
"2023-02-20 20:00:00",-5.26
"2023-02-20 22:00:00",-4.7
"2023-02-21 00:00:00",-4.88
"2023-02-21 02:00:00",-4.59
"2023-02-21 04:00:00",-3.64
"2023-02-21 06:00:00",-3.77
"2023-02-21 08:00:00",-2.09
"2023-02-21 10:00:00",-1.2
"2023-02-21 12:00:00",-0.24
"2023-02-21 14:00:00",-0.421
"2023-02-21 16:00:00",0.428
"2023-02-21 18:00:00",-3.71
"2023-02-21 20:00:00",-2.86
"2023-02-21 22:00:00",-1.65
"2023-02-22 00:00:00",-2.65
"2023-02-22 02:00:00",-1.8
"2023-02-22 04:00:00",-2.64
"2023-02-22 06:00:00",-1.88
"2023-02-22 08:00:00",-2.49
"2023-02-22 10:00:00",-1.85
"2023-02-22 12:00:00",-2.72
"2023-02-22 14:00:00",-1.93
