"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"800",0,0,319,330,0,0,0,0
"900",0,0,834,989,0,0,0,0
"1000",0,0,1959,2162,0,0,0,0
"1100",0,0,4268,3669,0,0,0,0
"1200",0,-1,12683,14834,0,0,251,4126
"1250",-10,-10,14934,13760,0,0,500,50
"1300",-10,-68,11984,14019,0,0,5250,1650
"1350",-724,-527,20642,21314,0,0,500,0
"1400",-1333,-2543,15337,22749,-1000,-276,13040,9125
"1450",-4854,-6448,15974,18326,-250,-750,921,2250
"1500",-12623,-11027,14444,20121,-2450,-250,15725,2250
"1525",-5647,-4963,2992,4972,-500,0,1500,921
"1550",-7441,-5762,6342,6188,-2790,-1950,3900,1949
"1600",-15646,-14189,7203,6683,-1500,-717,50,750
"1650",-17931,-14778,4704,5282,-1793,-3652,219,1250
"1700",-15563,-21380,1570,3322,-2250,-1612,1000,0
"1750",-17541,-15148,529,627,-7500,-4084,0,0
"1800",-16131,-16110,54,240,-8120,-1706,0,0
"1850",-10657,-9650,1,148,-1863,-1000,0,0
"1900",-8014,-10331,0,0,-10250,-2017,0,0
"2000",-4476,-4662,1,0,-500,-1085,0,0
"2100",-1115,-2280,0,0,-11,0,0,0
"2200",-418,-647,0,0,-381,0,0,0
"2400",-60,-738,0,0,0,0,0,0
"2600",0,-350,0,0,0,0,0,0
"3000",0,0,4,0,0,0,0,0
