"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"400",0,0,11,0,0,0,0,0
"500",0,0,11,11,0,0,0,0
"600",0,0,390,207,0,0,0,0
"700",0,0,99,20,0,0,0,0
"800",0,0,218,1082,0,0,0,0
"900",-1,-3,1386,1248,0,0,0,0
"1000",0,-5,1478,2031,0,0,200,10
"1100",-23,-51,5083,3352,0,0,900,144
"1200",-17,-53,8264,7178,-1200,0,1000,2693
"1300",-98,-392,9126,11318,0,0,660,750
"1350",0,0,246,1475,0,0,2300,2500
"1400",-136,-581,24160,24264,0,-250,15846,5660
"1450",-54,-79,8048,8081,0,0,1750,1500
"1500",-2142,-2213,27516,34584,-1250,-4250,19029,26575
"1550",-5094,-4430,11360,10946,-2750,-1000,19158,21208
"1600",-15294,-18915,23412,25333,-11375,-9901,15907,15262
"1650",-9347,-9295,8588,6666,-2750,-2625,2479,2267
"1700",-54264,-45616,4854,4256,-19713,-16014,4250,6500
"1750",-24084,-31242,768,218,-6416,-2500,0,0
"1800",-36808,-35088,238,233,-26243,-29950,0,0
"1900",-28592,-21914,0,0,-4800,-6300,0,0
"1950",-570,-1339,0,0,-2300,-3000,0,0
"2000",-22520,-24784,234,220,-8025,-9609,0,0
"2100",-3336,-6317,0,0,-1875,-750,0,0
"2200",-2684,-3763,0,0,0,0,0,0
"2400",-1271,-1867,0,0,0,0,0,0
"2600",-216,-2236,200,200,0,0,0,0
"2800",-116,-920,0,0,0,0,0,0
