"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"600",0,0,976,1181,0,0,0,0
"700",0,0,188,539,0,0,0,0
"800",0,0,687,723,0,0,0,0
"900",-1,0,2643,1283,0,0,0,3448
"1000",-3,0,8469,2757,0,0,250,200
"1100",-1,-2,6157,2814,0,0,0,5245
"1200",0,0,11485,6897,0,0,3428,4700
"1300",-286,-134,8708,9313,0,0,23254,6957
"1400",-1258,-987,8908,7934,0,0,9282,13885
"1500",-7045,-2513,7418,6237,-6,0,8752,4250
"1600",-4026,-3718,4203,4716,-3427,-2778,4494,7625
"1700",-16009,-14719,3450,4565,-7257,-1000,0,1113
"1800",-21328,-11963,1544,1864,-21528,-16250,1000,1273
"1900",-8447,-30049,1058,313,-19981,-3300,0,0
"2000",-5798,-7644,38,1,-3076,-3500,0,0
"2100",-2523,-3624,107,7,-3552,-1350,0,0
"2200",-4238,-4360,510,3,-2500,-154,0,0
"2300",-2130,-3122,0,0,-12565,-250,0,0
"2400",-2935,-2497,177,0,-9250,-1250,0,0
"2500",-597,-1259,190,0,-2022,-3250,0,0
"2600",-1048,-2231,36,0,-1700,-5750,0,0
"2800",-1883,-2550,0,0,-1055,-3000,0,0
"3000",-1053,-1311,0,0,-1000,-9500,0,0
"3200",-284,-1049,0,0,0,0,0,0
"3400",-82,-829,0,0,0,0,0,0
"3600",-549,-412,0,0,0,0,0,0
