"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"800",0,0,0,62,0,0,0,0
"900",0,0,5,127,0,0,0,0
"1000",0,0,225,303,0,0,0,0
"1100",0,0,138,564,0,0,0,0
"1150",0,0,135,292,0,0,0,0
"1200",0,0,542,323,0,0,0,0
"1250",0,0,142,471,0,0,0,0
"1300",0,0,724,650,0,0,250,2000
"1350",0,0,2409,1094,0,0,0,0
"1400",0,0,1045,1314,0,0,1000,0
"1450",0,-61,2398,2927,0,0,0,0
"1500",-370,-321,2786,3428,0,0,0,0
"1550",-1004,-868,2461,3981,0,-250,250,900
"1600",-1073,-2345,2895,2761,0,0,1000,0
"1650",-1024,-1388,3566,2205,-500,-2000,250,0
"1700",-4995,-4961,1250,757,-4500,-3750,0,1000
"1750",-5324,-3918,572,315,-1000,-500,0,0
"1800",-4300,-5610,136,60,-4000,-250,0,0
"1850",-2582,-5807,0,0,-3250,-250,0,0
"1900",-8602,-8105,0,0,-1750,-250,0,0
"2000",-4117,-5215,0,0,-4000,-500,0,0
"2200",-292,-397,0,0,0,0,0,0
"2400",-198,-312,0,0,0,0,0,0
"2600",-2,-35,0,0,0,0,0,0
"2800",-1,0,0,0,0,0,0,0
