"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"900",-1,-3,25,0,0,0,0,0
"1000",0,-5,146,58,0,0,0,0
"1100",-23,0,46,217,0,0,0,0
"1200",-16,0,1892,823,0,0,0,0
"1300",-11,-48,3273,4211,0,0,0,250
"1350",0,0,246,1475,0,0,2300,2500
"1400",-7,-42,6048,7026,0,0,1071,1250
"1450",-16,-30,4709,6368,0,0,500,1500
"1500",-301,-662,6706,8120,0,0,2234,21850
"1550",-2308,-2123,8180,7786,-750,-1000,250,20208
"1600",-3911,-2852,9701,15451,-250,-251,11532,8750
"1650",-5185,-4015,7456,5964,-1750,-2500,2225,2167
"1700",-18728,-9455,2843,2875,-8421,-7747,4250,6000
"1750",-16762,-23262,750,198,-5375,-2500,0,0
"1800",-20476,-17287,32,233,-3150,-10000,0,0
"1900",-15915,-13607,0,0,-3000,-4000,0,0
"1950",-570,-1339,0,0,-2300,-3000,0,0
"2000",-4386,-3793,1,2,-300,-3750,0,0
"2100",-864,-1625,0,0,0,0,0,0
"2200",-673,-748,0,0,0,0,0,0
"2400",-537,0,0,0,0,0,0,0
"2600",-1,0,0,0,0,0,0,0
"2800",-3,0,0,0,0,0,0,0
