"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"600",0,0,617,43,0,0,0,0
"700",0,0,100,386,0,0,0,0
"800",0,0,313,51,0,0,0,0
"900",0,0,1680,961,0,0,0,0
"1000",0,0,4213,992,0,0,0,200
"1100",0,0,2936,802,0,0,0,120
"1200",0,0,2693,3116,0,0,1628,3700
"1300",0,0,2360,1423,0,0,4005,4707
"1400",-149,-176,1781,1843,0,0,316,1585
"1500",-444,-309,1683,865,-6,0,752,750
"1600",-847,-788,1375,952,-625,-528,158,2375
"1700",-1032,-754,563,1200,-1831,0,0,113
"1800",-10855,-2392,447,885,-2028,-1250,0,273
"1900",-6080,-2723,0,0,-3512,-1000,0,0
"2000",-1043,-2034,0,0,-2326,-2250,0,0
"2100",-575,-969,0,0,-852,-750,0,0
"2200",-1619,-2480,0,0,0,-154,0,0
"2300",-1033,-1635,0,0,-1565,0,0,0
"2400",-657,-179,0,0,-5500,-750,0,0
"2500",-58,-77,0,0,-22,-1500,0,0
"2600",-133,-173,0,0,-200,0,0,0
"2800",-21,-531,0,0,-55,0,0,0
"3000",-213,-64,0,0,0,-250,0,0
"3200",0,-47,0,0,0,0,0,0
"3400",0,-84,0,0,0,0,0,0
"3600",0,-101,0,0,0,0,0,0
