"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"800",0,0,0,2,0,0,0,0
"900",0,0,12,35,0,0,0,0
"1000",0,0,40,79,0,0,0,0
"1100",0,0,307,620,0,0,0,0
"1200",0,0,709,1294,0,0,1,0
"1250",0,0,392,1588,0,0,0,50
"1300",0,-22,1434,2078,0,0,0,0
"1350",0,0,2969,3285,0,0,0,0
"1400",0,0,2775,3895,0,0,2000,250
"1450",-250,-139,8120,4785,0,0,0,750
"1500",-468,-26,7474,10304,0,0,9250,1600
"1550",-1579,-859,3101,3786,-250,0,2650,799
"1600",-3322,-3523,3280,2892,-250,-467,50,750
"1650",-3401,-5151,2048,2058,-1668,-1405,94,1250
"1700",-3893,-4510,197,379,-1250,-112,0,0
"1750",-7810,-7062,48,65,-4500,-3084,0,0
"1800",-6355,-9528,0,0,-8120,-956,0,0
"1850",-4291,-4236,0,0,0,0,0,0
"1900",-3239,-6175,0,0,0,-1517,0,0
"2000",-2713,-3958,0,0,-500,-835,0,0
"2100",-882,-1513,0,0,-11,0,0,0
"2200",-85,-591,0,0,-381,0,0,0
"2400",-10,-733,0,0,0,0,0,0
"2600",0,-350,0,0,0,0,0,0
