"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"400",0,0,1,0,0,0,0,0
"500",0,0,11,1,0,0,0,0
"600",0,0,390,207,0,0,0,0
"700",0,0,99,20,0,0,0,0
"800",0,0,218,1062,0,0,0,0
"900",-1,-3,1376,1248,0,0,0,0
"1000",0,-5,1399,1909,0,0,200,10
"1100",-43,-76,5073,3327,0,0,900,144
"1200",-21,-53,8129,7115,-1200,0,1000,2693
"1300",-98,-396,9307,11123,0,0,660,750
"1350",0,0,410,1612,0,0,2300,2500
"1400",-136,-596,24520,24793,0,-250,15846,5660
"1450",-54,-79,8184,8174,0,0,1750,1500
"1500",-2153,-2236,28204,35675,-1250,-4250,19029,26575
"1550",-5168,-4479,12583,11341,-2750,-1000,19158,21208
"1600",-15315,-19048,25125,26204,-11938,-9751,23257,15262
"1650",-10766,-10200,10636,7574,-2750,-2625,5729,2267
"1700",-54995,-47627,5451,4784,-19413,-16764,4250,6500
"1750",-26349,-33950,906,238,-6416,-2500,0,0
"1800",-38040,-40201,294,256,-26243,-29950,0,0
"1900",-29773,-24391,0,0,-4800,-6300,0,0
"1950",-621,-1372,0,0,-2300,-3000,0,0
"2000",-22422,-24949,234,220,-8025,-9609,0,0
"2100",-3336,-6317,0,0,-1875,-750,0,0
"2200",-2477,-3734,0,0,0,0,0,0
"2400",-1252,-1828,0,0,0,0,0,0
"2600",-215,-2165,200,200,0,0,0,0
"2800",-116,-920,0,0,0,0,0,0
