"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"900",0,0,5,127,0,0,0,0
"1000",0,0,225,303,0,0,0,0
"1100",0,0,101,464,0,0,0,0
"1150",0,0,27,183,0,0,0,0
"1200",0,0,135,316,0,0,270,0
"1250",0,0,44,406,0,0,0,0
"1300",0,0,599,526,0,0,0,0
"1350",0,0,2075,802,0,0,0,0
"1400",0,0,1169,1278,0,0,0,0
"1450",0,-26,2390,3094,0,0,0,0
"1500",-189,-80,3485,4106,0,0,0,0
"1550",-381,-318,3029,5169,0,-250,1250,1150
"1600",-795,-835,3022,2923,0,0,1000,0
"1650",-812,-1465,3671,2723,-1500,-2250,250,750
"1700",-4238,-4940,1524,944,-4500,-6000,0,1000
"1750",-4855,-4619,627,411,-1000,-1250,0,0
"1800",-5216,-7890,136,60,-4000,-250,0,0
"1850",-2986,-7396,0,0,-3250,-2250,0,0
"1900",-8893,-9096,0,0,-1750,-250,0,0
"2000",-4165,-6904,0,0,-4000,-500,0,0
"2200",-255,-398,0,0,0,-270,0,0
"2400",-198,-361,0,0,0,0,0,0
"2600",-2,-35,0,0,0,0,0,0
"2800",-1,0,0,0,0,0,0,0
