"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"900",0,0,25,0,0,0,0,0
"1000",0,-5,146,0,0,0,0,0
"1100",-43,-25,22,156,0,0,0,0
"1200",-20,0,749,505,0,0,0,0
"1300",-10,-27,2597,3039,0,0,0,250
"1350",0,0,410,1612,0,0,2300,2500
"1400",-2,-35,4822,6520,0,0,1071,1250
"1450",-10,-19,3465,5504,0,0,0,250
"1500",-215,-279,6265,8741,0,0,1734,21850
"1550",-1114,-440,8179,7764,-750,0,250,19708
"1600",-1505,-1344,11371,16463,-563,0,18882,8750
"1650",-5187,-2873,9451,6817,-1750,-2000,5475,2167
"1700",-14817,-10454,3114,3059,-8421,-7997,4250,6000
"1750",-18584,-25628,879,214,-5375,-2250,0,0
"1800",-20850,-20889,87,255,-2900,-10000,0,0
"1900",-16285,-14862,0,0,-3000,-4000,0,0
"1950",-621,-1372,0,0,-2300,-3000,0,0
"2000",-4278,-3945,0,1,-300,-3750,0,0
"2100",-864,-1002,0,0,0,0,0,0
"2200",-673,-739,0,0,0,0,0,0
"2400",-535,0,0,0,0,0,0,0
"2600",-1,0,0,0,0,0,0,0
