"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"700",0,0,0,39,0,0,0,0
"800",0,0,52,155,0,0,0,0
"900",-1,0,21,21,0,0,0,0
"1000",-2,0,1339,285,0,0,0,0
"1100",0,-2,595,707,0,0,0,0
"1200",0,0,1565,509,0,0,1800,1000
"1300",-1,0,950,439,0,0,375,500
"1400",-538,-370,2237,1634,0,0,4450,0
"1500",-728,-523,2730,2006,0,0,8000,500
"1600",-895,-1240,1215,1325,-252,0,252,500
"1700",-12483,-10533,1376,1144,-2926,0,0,0
"1800",-6842,-6486,29,179,-9250,-1500,0,0
"1900",-443,-1251,0,0,-8000,-1300,0,0
"2000",-1173,-2322,0,0,0,-1000,0,0
"2100",-491,-224,0,6,-200,0,0,0
"2200",-1000,-251,0,3,0,0,0,0
"2300",-309,-274,0,0,-1000,0,0,0
"2400",-255,-161,0,0,0,0,0,0
"2500",-147,-487,0,0,0,0,0,0
"2600",-399,-738,0,0,0,0,0,0
"2800",-363,-1572,0,0,0,0,0,0
"3000",-233,-921,0,0,0,0,0,0
"3200",-174,-231,0,0,0,0,0,0
"3400",0,-469,0,0,0,0,0,0
"3600",-2,-8,0,0,0,0,0,0
