"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"800",0,0,158,147,0,0,0,0
"900",0,0,10,135,0,0,0,0
"1000",0,0,279,482,0,0,0,0
"1100",0,0,471,1093,0,0,0,0
"1150",0,0,1505,1003,0,0,0,0
"1200",0,0,1160,1294,0,0,270,0
"1250",0,0,510,1640,0,0,0,0
"1300",0,0,1214,1677,0,0,250,2000
"1350",0,0,2998,1526,0,0,0,0
"1400",0,0,2317,2415,0,0,7000,700
"1450",-580,-64,4428,3944,0,0,0,250
"1500",-790,-633,5470,4995,0,0,0,1500
"1550",-1989,-1394,4574,6631,-500,-3500,1250,1150
"1600",-2858,-3546,4660,4221,0,0,1250,0
"1650",-1779,-2909,4032,2848,-2250,-3250,250,750
"1700",-6021,-6613,1605,1095,-9000,-8700,0,1000
"1750",-7328,-5563,627,411,-1250,-1500,0,0
"1800",-7231,-10533,136,60,-4000,-250,0,0
"1850",-3007,-7746,0,0,-3250,-2250,0,0
"1900",-10439,-12088,0,0,-1750,-250,0,0
"2000",-4548,-8132,0,0,-4000,-500,0,0
"2200",-337,-660,0,0,0,-270,0,0
"2400",-203,-413,0,0,0,0,0,0
"2600",-2,-164,0,0,0,0,0,0
"2800",-1,-200,0,0,0,0,0,0
