"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"400",0,0,1,0,0,0,0,0
"500",0,0,11,1,0,0,0,0
"600",0,0,390,207,0,0,0,0
"700",0,0,79,20,0,0,0,0
"800",0,0,218,1060,0,0,0,0
"900",-1,-3,1376,1248,0,0,0,0
"1000",0,-5,1399,1829,0,0,200,10
"1100",-43,-76,5010,3317,0,0,900,144
"1200",-21,-53,8111,6963,-1200,0,1000,2693
"1300",-98,-396,9243,10817,0,0,660,750
"1350",0,0,410,1612,0,0,2300,2500
"1400",-136,-597,24908,25023,0,-250,15846,5660
"1450",-54,-79,9126,9365,0,0,1750,1500
"1500",-2143,-2235,29755,36025,-1250,-4250,19129,26075
"1550",-5171,-4485,13454,11876,-2750,-1000,19658,22408
"1600",-15243,-19006,27571,26722,-10938,-9751,22357,15262
"1650",-11653,-10868,11525,8021,-2750,-3625,5729,2267
"1700",-57260,-50087,5619,4827,-21413,-16764,4250,6500
"1750",-26504,-36655,906,238,-6416,-2500,0,0
"1800",-38230,-40525,294,256,-19243,-25450,0,0
"1900",-30074,-24584,0,0,-5300,-6300,0,0
"1950",-621,-1372,0,0,-2300,-3000,0,0
"2000",-22353,-24923,234,220,-8025,-9609,0,0
"2100",-3291,-6317,0,0,-1875,-750,0,0
"2200",-2429,-3710,0,0,0,0,0,0
"2400",-1245,-1683,0,0,0,0,0,0
"2600",-215,-2158,200,200,0,0,0,0
"2800",-116,-920,0,0,0,0,0,0
