"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"1970-01-01 00:00:00",0,0,1574,1581,0,0,0,0
"1970-01-01 00:00:00",0,0,143,111,0,0,0,0
"1970-01-01 00:00:00",0,0,674,741,0,0,0,0
"1970-01-01 00:00:00",0,0,1224,345,0,0,3000,3896
"1970-01-01 00:00:00",0,0,4487,2259,0,0,250,0
"1970-01-01 00:00:00",0,0,1540,1598,0,0,0,1500
"1970-01-01 00:00:00",0,0,4846,4929,0,0,1975,1375
"1970-01-01 00:00:00",0,0,4154,7762,0,0,20398,5250
"1970-01-01 00:00:00",-358,-323,4069,4348,0,0,2818,25517
"1970-01-01 00:00:00",-1637,-734,3690,4775,0,0,500,3750
"1970-01-01 00:00:00",-4498,-9636,2786,4003,-5525,-6334,7334,8459
"1970-01-01 00:00:00",-4334,-4088,2140,3981,-2125,-1000,125,1000
"1970-01-01 00:00:00",-9402,-4618,1186,1407,-8750,-6502,1000,1000
"1970-01-01 00:00:00",-52611,-51134,1058,313,-8951,-3750,0,0
"1970-01-01 00:00:00",-13031,-14449,182,2,-3743,-4757,0,0
"1970-01-01 00:00:00",-2227,-3305,121,1,-3000,-1350,0,0
"1970-01-01 00:00:00",-3825,-4122,518,0,-2500,-5000,0,0
"1970-01-01 00:00:00",-2553,-2974,0,0,-12000,-500,0,0
"1970-01-01 00:00:00",-2153,-2162,177,0,-17750,-1250,0,0
"1970-01-01 00:00:00",-1299,-951,190,0,-6750,-7250,0,0
"1970-01-01 00:00:00",-5637,-7549,36,0,-2750,-6750,0,0
"1970-01-01 00:00:00",-5623,-7477,0,0,-1000,-3250,0,0
"1970-01-01 00:00:00",-1091,-1019,0,0,-1000,-9500,0,0
"1970-01-01 00:00:00",-142,-445,0,0,0,0,0,0
"1970-01-01 00:00:00",-206,-556,0,0,0,0,0,0
"1970-01-01 00:00:00",-1149,-480,0,0,0,0,0,0
