"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"900",0,0,5,127,0,0,0,0
"1000",0,0,220,298,0,0,0,0
"1100",0,0,0,365,0,0,0,0
"1150",0,0,5,98,0,0,0,0
"1200",0,0,132,288,0,0,270,0
"1250",0,0,46,257,0,0,0,0
"1300",0,0,388,437,0,0,0,0
"1350",0,0,2028,648,0,0,0,0
"1400",0,0,1217,1325,0,0,0,0
"1450",0,0,2784,3490,0,0,0,250
"1500",-115,-80,4420,4688,0,0,0,0
"1550",-59,-111,3266,5142,0,-250,1250,1150
"1600",-316,-487,4993,3679,0,0,1500,0
"1650",-807,-1532,3694,2628,-1500,-750,250,750
"1700",-3063,-3476,1525,1095,-6000,-6500,0,1000
"1750",-4853,-4400,627,411,-1500,-1250,0,0
"1800",-5099,-8830,136,60,-4000,-250,0,0
"1850",-3007,-7747,0,0,-3250,-2250,0,0
"1900",-8787,-9084,0,0,-1750,-500,0,0
"2000",-4146,-6982,0,0,-4000,-500,0,0
"2200",-255,-403,0,0,0,-270,0,0
"2400",-198,-361,0,0,0,0,0,0
"2600",-2,-35,0,0,0,0,0,0
"2800",-1,0,0,0,0,0,0,0
