"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"900",0,0,12,35,0,0,0,0
"1000",0,0,40,70,0,0,0,0
"1100",0,0,281,484,0,0,0,0
"1200",0,0,649,211,0,0,1,0
"1250",0,0,230,1162,0,0,0,50
"1300",0,-22,1092,1667,0,0,0,0
"1350",0,0,2049,2128,0,0,0,0
"1400",0,0,1482,1737,0,0,1000,250
"1450",-130,-27,2228,1882,0,0,0,250
"1500",-97,-22,2810,3559,0,0,1000,1250
"1550",-510,-435,2001,2591,0,0,2400,799
"1600",-450,-591,2611,1942,0,-8,50,750
"1650",-1466,-2145,2043,1558,0,-1405,94,1250
"1700",-1993,-2640,182,374,-250,-112,0,0
"1750",-5236,-3130,48,65,-4250,-3084,0,0
"1800",-5368,-8815,0,0,-8120,-956,0,0
"1850",-3842,-3314,0,0,0,0,0,0
"1900",-3163,-5670,0,0,0,-1517,0,0
"2000",-2613,-3762,0,0,-500,-835,0,0
"2100",-858,-1436,0,0,-11,0,0,0
"2200",-85,-584,0,0,-381,0,0,0
"2400",-10,-733,0,0,0,0,0,0
"2600",0,-350,0,0,0,0,0,0
