"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"400",0,0,11,0,0,0,0,0
"500",0,0,11,11,0,0,0,0
"600",0,0,390,207,0,0,0,0
"700",0,0,99,20,0,0,0,0
"800",0,0,218,1082,0,0,0,0
"900",-1,-3,1390,1248,0,0,0,0
"1000",0,-5,1503,2031,0,0,200,10
"1100",-23,-51,5090,3360,0,0,900,144
"1200",-17,-53,8309,7384,-1200,0,1000,2693
"1300",-98,-392,9173,11427,0,0,660,750
"1350",0,0,246,1475,0,0,2300,2500
"1400",-136,-587,24190,24333,0,-250,15846,5660
"1450",-54,-79,8028,7893,0,0,1750,1500
"1500",-2136,-2213,27573,34588,-1250,-4250,19029,26575
"1550",-5094,-4424,11204,10821,-2750,-1000,18908,21208
"1600",-15330,-18972,22690,23912,-11375,-10501,15907,15137
"1650",-9343,-9289,7285,6023,-2750,-2625,2354,2267
"1700",-54246,-45442,4578,4171,-20088,-15014,4125,4500
"1750",-22566,-30739,560,215,-6166,-2500,0,0
"1800",-34876,-34483,224,232,-27943,-30950,0,0
"1900",-26797,-20115,0,0,-5100,-4300,0,0
"1950",-401,-1287,0,0,-2300,-2500,0,0
"2000",-22288,-24686,234,220,-8025,-9709,0,0
"2100",-3455,-6321,0,0,-1875,-750,0,0
"2200",-2839,-3805,0,0,-300,0,0,0
"2400",-1285,-1915,0,0,0,0,0,0
"2600",-246,-2237,200,200,0,0,0,0
"2800",-117,-920,0,0,0,0,0,0
