"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"600",0,0,1552,1589,0,0,0,0
"700",0,0,193,491,0,0,0,0
"800",0,0,719,732,0,0,0,0
"900",0,0,2668,1226,0,0,0,3448
"1000",0,0,8421,2900,0,0,250,200
"1100",0,0,4400,1957,0,0,0,3120
"1200",0,0,9675,8004,0,0,2853,4825
"1300",0,0,7131,9485,0,0,22179,6457
"1400",-756,-797,7369,7406,0,0,4750,23892
"1500",-2308,-1495,5169,5193,-6,0,2752,3750
"1600",-4848,-10057,4173,4842,-2900,-6028,4742,8000
"1700",-4506,-4926,3367,5005,-3082,-1000,125,1113
"1800",-15026,-5420,1523,2067,-7778,-16000,1000,1273
"1900",-32604,-29673,1058,313,-6963,-2450,0,0
"2000",-14507,-14888,202,2,-4069,-5007,0,0
"2100",-2279,-4068,121,1,-3352,-1350,0,0
"2200",-3833,-4317,518,0,-2500,-5154,0,0
"2300",-2620,-3621,0,0,-12565,-250,0,0
"2400",-3050,-2242,177,0,-19250,-1250,0,0
"2500",-1350,-1259,190,0,-6772,-3250,0,0
"2600",-841,-2151,36,0,-2700,-5750,0,0
"2800",-2124,-2319,0,0,-1055,-3000,0,0
"3000",-1030,-493,0,0,-1000,-9500,0,0
"3200",-195,-435,0,0,0,0,0,0
"3400",-83,-533,0,0,0,0,0,0
"3600",-656,-428,0,0,0,0,0,0
