"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"900",0,0,12,35,0,0,0,0
"1000",0,0,40,70,0,0,0,0
"1100",0,0,281,483,0,0,0,0
"1200",0,0,616,211,0,0,1,0
"1250",0,0,222,1162,0,0,0,50
"1300",0,0,732,1644,0,0,0,0
"1350",0,0,2043,2120,0,0,0,0
"1400",0,0,1431,1731,0,0,1000,0
"1450",-130,-27,2113,1882,0,0,0,250
"1500",-97,0,2543,3027,0,0,1000,1250
"1550",-509,-435,1981,1905,0,0,2150,799
"1600",-450,-589,2476,1880,0,-8,50,750
"1650",-1465,-1937,1930,1541,0,-1405,94,1000
"1700",-1993,-2640,182,351,-250,-112,0,0
"1750",-5221,-3080,48,65,-4250,-3084,0,0
"1800",-5014,-8313,0,0,-8120,-956,0,0
"1850",-3842,-3314,0,0,0,0,0,0
"1900",-2648,-3572,0,0,0,-1517,0,0
"2000",-2452,-2201,0,0,-500,-835,0,0
"2100",-820,-1349,0,0,-11,0,0,0
"2200",-85,-579,0,0,-381,0,0,0
"2400",-10,-707,0,0,0,0,0,0
"2600",0,-350,0,0,0,0,0,0
