"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"600",0,0,28,8,0,0,0,0
"700",0,0,55,384,0,0,0,0
"800",0,0,58,15,0,0,0,0
"900",0,0,1452,911,0,0,0,0
"1000",0,0,4475,1139,0,0,0,200
"1100",0,0,3133,936,0,0,0,1620
"1200",0,0,5550,4136,0,0,1628,3700
"1300",0,0,4144,2340,0,0,4255,2707
"1400",-544,-474,4722,4040,0,0,2266,0
"1500",-709,-963,2158,1314,-6,0,2252,0
"1600",-853,-1043,1903,1670,-125,-528,158,1125
"1700",-704,-1365,1620,2102,-957,0,0,113
"1800",-11459,-3048,498,719,-2528,-10250,0,273
"1900",-4970,-2661,0,0,-3512,-1200,0,0
"2000",-2265,-2243,20,0,-326,-2250,0,0
"2100",-964,-1480,0,0,-852,-250,0,0
"2200",-2017,-2694,0,0,0,-154,0,0
"2300",-1436,-2263,0,0,-1565,0,0,0
"2400",-1251,-549,0,0,-1500,-750,0,0
"2500",-429,-593,0,0,-22,-1000,0,0
"2600",-170,-868,0,0,-200,0,0,0
"2800",-1710,-1900,0,0,-55,0,0,0
"3000",-212,-126,0,0,0,-250,0,0
"3200",-73,-48,0,0,0,0,0,0
"3400",0,-312,0,0,0,0,0,0
"3600",0,-61,0,0,0,0,0,0
