"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"10000",0,0,87,88.9,0,0,0,0
"12000",0,0,98.9,151.4,0,0,100,100
"14000",0,0,178.6,248.5,0,0,0,0
"15000",0,0,101.6,195.9,0,0,225,0
"16000",0,0,339.5,285.5,0,0,0,0
"17000",0,0,645.5,371.9,0,0,0,0
"18000",-0.1,-6.9,309.2,218.7,0,0,106,250
"19000",-158.9,-133.3,193.2,197.6,0,0,520,20
"20000",-38.4,-47.8,453.3,366.5,0,0,875,0
"21000",-81.5,-91.5,355.5,343.3,0,0,225,275
"22000",-163.3,-128.3,456.5,467.9,0,-225,0,337.5
"23000",-77.3,-162.7,349.2,465.9,-25,-100,187.5,201.7
"24000",-311.7,-313.7,548.9,378.5,-75,-90,600,375
"25000",-269,-452.4,310.8,326.8,-300,-350,25,0
"26000",-282.4,-256.2,258.4,290.9,-225,-100,0,150
"27000",-344.3,-347.5,149.5,375.2,-125,-687.5,175,112.5
"28000",-331,-516.5,342.6,146.9,-150,-820,42.5,96.5
"29000",-318.3,-471.5,90,58.9,-178,-889,0,0
"30000",-513.8,-496.6,5.3,27.1,-746,-745,0,0
"31000",-103.9,-217.7,0,0.3,-2225,-250,0,100
"32000",-672.2,-759.9,19.9,0,-8762.5,-1671.1,0,0
"33000",-123.9,-111.6,0,0,-1652.5,-688,0,0
"34000",-233.6,-302.6,30,0,0,-550,0,0
"35000",-434.7,-274.9,0.1,14.7,-1788.5,-462.5,0,0
"36000",-385.7,-325.6,20,0,-1431.1,-2128.5,0,0
"38000",-347.1,-473.8,10,0,-57,-5394.5,0,0
"40000",-250,-329.2,22.6,0,-666.7,-712,0,0
"42000",-108.3,-168.4,0,0,-275,-975,0,0
"44000",-56.3,-35.5,0,0,0,0,0,0
"45000",-88.9,-102.9,0,0,-186,-200,0,0
"50000",-82.2,-132.9,0,0,-85,0,0,0
"55000",-213.3,-380.8,0,0,0,-100,0,0
