"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"600",0,0,737,421,0,0,0,0
"700",0,0,1239,1194,0,0,0,0
"800",0,0,972,529,0,0,4600,0
"900",0,0,488,688,0,0,300,0
"1000",0,0,626,1593,0,0,0,0
"1100",0,0,1570,2165,0,0,0,6000
"1200",0,0,2821,3274,0,0,0,1000
"1300",-774,-868,2673,3997,0,0,20000,510
"1400",-1521,-964,2704,4552,0,0,750,7000
"1500",-1547,-2154,5294,6023,0,-4000,3250,10000
"1600",-2636,-3669,6391,6600,-1000,0,3250,0
"1700",-4798,-3853,8879,9138,0,-2500,2500,3375
"1800",-10879,-14186,4390,4426,-3750,-56455,1500,5350
"1900",-7502,-8799,1313,1825,-7650,-1623,0,0
"2000",-4915,-7958,1001,7,-3500,-7000,0,0
"2100",-1881,-3346,5,0,-7500,-12500,0,0
"2200",-4839,-5041,139,161,-4350,-500,0,0
"2300",-4059,-3320,0,0,-100,-7602,0,0
"2400",-1938,-2292,0,0,-15000,-2750,0,0
"2500",-6445,-3189,0,0,-3800,-550,0,0
"2600",-586,-1536,0,0,0,0,0,0
"2700",-183,-403,0,0,0,0,0,0
"2800",-1189,-1094,0,0,0,0,0,0
"3000",-1175,-938,0,0,0,0,0,0
"3200",-1475,-623,0,0,0,0,0,0
"3400",-924,-603,0,0,-1400,0,0,0
"3600",-833,-429,0,0,-2518,-4750,0,0
