"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"5000",0,0,10,5,0,0,0,0
"10000",0,0,60.4,242.9,0,0,35,25
"12000",-10,0,93.9,163.4,0,0,1611.4,473.1
"14000",0,0,150.9,195.6,0,0,918.2,3385.3
"15000",0,0,8.4,16.7,0,0,0,0
"16000",0,0,648.9,601.9,0,0,1959.4,1820.1
"17000",0,0,552.6,529.4,0,0,212.5,12.5
"18000",-6.1,-3.9,964.2,827.4,0,0,1110.7,424
"19000",-244.6,-156.8,693,855.6,0,-12.5,1119,244.9
"20000",-230.8,-201.4,1520.4,1368.2,-120,-20,2315.4,1120
"21000",-373.1,-213,974,828.8,-12.5,0,653.3,233.9
"22000",-462.9,-401.2,1352.7,1776.4,-37.5,-134,321.6,3275
"23000",-373,-663.7,1386.6,1148.3,-715.1,-660.5,522.5,1737.5
"24000",-1490.7,-780.2,1021.7,879.2,-3602,-1018,607.5,1025
"25000",-1552.6,-1435.9,1351.9,1156.5,-3675,-1410.7,323,1002.5
"26000",-753.2,-979.9,863.2,531.2,-2660.9,-2198.3,613,2614
"27000",-1045.9,-1717.6,917.4,913.7,-3052.8,-1786.2,205,998
"28000",-1861.4,-1714.9,559.6,434.3,-1354,-1860.5,250,150
"29000",-1243.6,-993.9,249.5,213.1,-600,-730,50,0
"30000",-2052.1,-2148.5,33.8,32.2,-3096,-2592.9,0,0
"31000",-435.5,-375.1,0.1,0,-150,-400,0,0
"32000",-2185.3,-1578,90.5,15,-3398,-2448,0,0
"34000",-901.4,-718.5,0,0,-875,-900,0,0
"35000",-1020.1,-1134.1,16.4,0,-775,-1025,0,0
"36000",-706.4,-676.3,0,0,-2050,-440,0,0
"38000",-449.2,-553.9,0.2,0,0,-175,0,0
"40000",-585.7,-577.5,0,0,-1378.6,-3327.5,0,0
"45000",-156.8,-338.2,0,12,-25,-315,0,0
"50000",-70.1,-108.2,0.6,0,0,0,0,0
