"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"600",0,0,1468,1400,0,0,0,0
"700",0,0,513,1706,0,0,0,0
"800",0,0,2124,1104,0,0,0,0
"900",-1,0,5386,3174,0,0,350,307
"1000",-3,0,8959,5412,0,0,0,450
"1100",-1,-2,7499,3175,0,0,0,5370
"1200",-254,-19,13263,9397,0,0,9478,5900
"1300",-2071,-1606,11135,9286,0,0,6844,6957
"1400",-3035,-1970,14557,13722,-250,0,12073,49135
"1500",-9942,-5371,11215,8956,-6,-5250,9102,12250
"1600",-6178,-5634,8820,7319,-19827,-15653,4410,3750
"1700",-27333,-19921,4046,5057,-36557,-2964,0,1113
"1800",-27782,-21851,3310,2425,-49402,-42600,1000,1523
"1900",-12156,-10207,837,335,-23781,-3300,0,0
"2000",-11473,-16304,22,1,-21026,-3500,0,0
"2100",-4571,-6321,0,7,-8552,-2050,0,0
"2200",-5584,-5643,0,4,-2800,-154,0,0
"2300",-5597,-4690,0,0,-13083,-250,0,0
"2400",-2218,-1583,0,0,-8500,-750,0,0
"2500",-1714,-2883,0,0,-1022,-4500,0,0
"2600",-1310,-2249,0,0,-1700,-5750,0,0
"2800",-2087,-2611,0,0,-1055,-3000,0,0
"3000",-884,-1706,0,0,-875,-9250,0,0
"3200",-462,-1026,0,0,0,0,0,0
"3400",-102,-935,0,0,0,0,0,0
"3600",-16,-320,0,0,0,0,0,0
