"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"200",0,0,461,171,0,0,0,0
"300",0,0,421,47,0,0,0,0
"400",0,0,39,307,0,0,0,0
"500",0,0,278,111,0,0,0,250
"600",0,0,77,72,0,0,875,200
"700",0,0,220,1454,0,0,1125,0
"800",0,0,272,387,0,0,0,0
"900",0,0,48,866,0,0,0,0
"1000",0,0,485,573,0,0,500,500
"1100",-46,-2,256,414,0,-250,0,800
"1200",-31,0,134,980,-495,-495,0,2125
"1300",0,0,179,139,0,-875,0,514
"1400",-4,-5,843,609,0,-650,0,0
"1500",0,-9,181,87,0,0,0,0
"1600",-83,-45,73,12,-1259,-250,1000,250
"1700",-128,-63,2,0,-1145,-495,0,0
"1800",-27,-20,26,0,0,-2178,0,0
"1900",-61,-19,0,0,0,-2000,0,0
"2000",-312,-433,32,2,0,-11000,0,0
"2200",-529,-357,60,60,0,-275,0,0
"2500",-898,-726,0,0,-1000,-500,0,0
"3000",-810,-3088,38,0,-25825,0,0,0
"3500",-440,-1018,0,0,-10525,0,0,0
"4000",-462,-726,0,0,-9000,0,0,0
"4500",-392,-471,0,1,0,0,0,0
"5000",-290,-155,0,0,0,-197,0,0
"5500",-3398,-1322,0,0,0,0,0,0
