"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"100",0,0,52,10,0,0,0,0
"200",0,0,32,6,0,0,0,0
"300",0,0,58,62,0,0,0,0
"400",0,0,330,1067,0,0,0,0
"500",0,0,172,536,0,0,0,0
"600",0,0,504,395,0,0,0,0
"700",0,0,222,766,0,0,0,0
"800",0,0,1564,1845,0,0,1750,2750
"900",0,0,595,1342,0,0,0,0
"1000",-1,0,1602,2858,0,0,1875,2000
"1100",0,-8,2828,2577,0,0,0,0
"1200",-1,-17,2016,2809,-1600,0,2750,1500
"1300",-302,-47,1599,2094,-2600,0,1625,1000
"1400",-248,-968,1043,2534,-1850,0,500,8500
"1500",-583,-196,1926,1960,-250,-4900,0,5000
"1600",-2447,-1876,1103,1247,-33975,-29893,1500,5060
"1700",-1444,-1459,181,1245,-1070,-3310,0,1000
"1800",-2094,-1964,92,1003,-1770,-6815,0,1000
"1900",-8555,-2438,0,49,-250,-31884,0,0
"2000",-14615,-7105,6,3,-6750,-8863,0,0
"2100",-2318,-1659,0,2,-16656,-5000,0,0
"2200",-2643,-2843,0,0,-13483,-23850,0,0
"2300",-1022,-777,0,0,-4850,-1320,0,0
"2400",-1006,-2035,0,0,-7235,-9895,0,0
"2500",-1505,-2170,0,0,-8740,-1475,0,0
"2600",-1697,-619,0,0,-1000,-850,0,0
"3000",-2427,-2980,0,0,-6884,-5000,0,0
"3500",-1175,-1699,0,0,-1250,-13125,0,0
"4000",-815,-1341,0,0,-375,-2000,0,0
"4500",-253,-576,0,0,0,0,0,0
"5000",-909,-366,0,0,0,0,0,0
"5500",-93,-331,0,0,0,0,0,0
"6000",-37,-344,0,0,0,0,0,0
"6500",-123,-244,0,0,0,0,0,0
