"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"200",-1,0,2,51,0,0,0,0
"300",0,0,234,117,0,0,0,0
"400",0,0,508,390,0,0,0,0
"500",-5,-5,799,510,0,0,0,0
"600",-2,0,490,2853,0,0,0,0
"700",-5,-5,1029,906,0,0,500,0
"800",0,0,2513,2045,0,0,1000,0
"900",-2,-1,2821,1570,0,0,1250,750
"1000",-6,-155,6459,7173,0,0,250,1018
"1100",-517,-694,4188,4480,0,0,6750,3550
"1200",-201,-180,7589,8854,0,-500,15750,2375
"1300",-1166,-1677,7271,8371,-750,-1915,3383,2832
"1400",-1847,-3519,3189,7681,-12875,-1375,1250,9500
"1500",-13677,-6872,4937,6283,-3250,-10750,1750,2750
"1600",-8465,-12906,1988,3438,-10800,-11768,2250,1820
"1700",-5022,-3999,1555,1242,-4438,-3388,500,0
"1800",-11437,-4527,4,168,-14598,-14250,0,0
"1900",-12123,-13031,1,10,-14825,-2375,0,0
"2000",-18715,-15144,21,307,-23558,-1500,0,0
"2100",-5458,-4406,0,31,-8875,-6125,0,0
"2200",-3753,-2825,35,2,-4250,-20450,0,0
"2300",-3002,-3724,0,0,-8147,-12625,0,0
"2400",-2673,-4242,0,1,-16875,-2669,0,0
"2500",-4757,-1909,50,8,-3375,-11000,0,0
"2600",-3180,-3500,0,0,-9148,-15830,0,0
"2800",-1929,-2978,0,0,0,0,0,0
"3000",-3734,-4302,0,0,-1000,-5500,0,0
"3200",-933,-2253,1,1,0,0,0,0
"3400",-440,-1211,0,0,0,0,0,0
"3500",-1546,-1032,0,0,0,0,0,0
"4000",-1008,-1240,0,0,0,0,0,0
"4500",-211,-278,0,0,0,0,0,0
"5000",-348,-269,0,0,0,0,0,0
"5500",-1044,-1005,0,0,0,0,0,0
"6000",-35,-222,0,0,0,0,0,0
"6500",0,-359,0,0,0,0,0,0
"7000",-2,-243,0,0,0,0,0,0
"8000",-55,-2655,0,0,-125,0,0,0
"9000",-1,0,0,0,0,0,0,0
"10000",-125,-40,0,0,0,-125,0,0
"15000",-143,0,0,0,0,0,0,0
"20000",-35,-65,0,0,0,0,0,0
"25000",-78,0,0,0,0,0,0,0
"30000",-431,0,0,0,0,0,0,0
