"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"10000",0,0,44.6,13.1,0,0,0,0
"12000",0,0,20,2.2,0,0,0,0
"14000",0,0,0.1,86.1,0,0,0,0
"15000",0,0,1,15.7,0,0,0,0
"16000",0,0,21.6,23.8,0,0,0,0
"17000",0,0,10.6,33.7,0,0,0,0
"18000",0,0,18.8,24.7,0,0,86,0
"19000",0,0,29.3,33.8,0,0,100,0
"20000",-1,-0.1,54.2,20.7,0,0,0,0
"21000",-1.3,0,30,54.4,0,0,0,0
"22000",-0.2,0,75.5,99.4,0,0,0,0
"23000",0,-0.5,72,46.9,0,0,37.5,0
"24000",-5,-0.5,126.3,112.8,0,0,600,0
"25000",-2.6,-0.4,25.9,69.9,0,0,0,0
"26000",-4.1,-1.4,38.4,59.7,0,0,0,0
"27000",-23.7,-26.6,28.4,281.5,-75,-37.5,175,62.5
"28000",-52.5,-49.2,44.5,32.7,-25,-75,42.5,62.5
"29000",-55.5,-83.1,53,21.6,0,-686,0,0
"30000",-48.7,-51.9,0.3,26.6,-300,-225,0,0
"31000",-33.1,-161.7,0,0.3,-50,0,0,100
"32000",-152.8,-163.5,0,0,-1119.5,-25,0,0
"33000",-109.9,-78.4,0,0,-502.5,-438,0,0
"34000",-64,-69.7,0,0,0,0,0,0
"35000",-63.3,-58.5,0.1,0,-1056,-137.5,0,0
"36000",-95.3,-102,0,0,-250,0,0,0
"38000",-69.2,-209.5,0,0,0,-1567,0,0
"40000",-47.2,-90.9,0,0,0,-112,0,0
"42000",-28.5,-31.3,0,0,0,0,0,0
"44000",-8.7,-13,0,0,0,0,0,0
"45000",-6.7,-7.7,0,0,-56,0,0,0
"50000",-17.1,-8.6,0,0,0,0,0,0
"55000",-72,-98.4,0,0,0,0,0,0
