"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"600",0,0,0,13,0,0,0,0
"700",0,0,82,185,0,0,0,0
"800",0,0,5,116,0,0,0,0
"900",0,0,17,163,0,0,0,0
"1000",0,0,21,307,0,0,0,0
"1100",0,0,50,141,0,0,0,0
"1200",0,0,469,372,0,0,0,1000
"1300",0,0,439,1318,0,0,0,0
"1400",0,0,162,984,0,0,0,0
"1500",-8,-1,388,959,0,0,2750,0
"1600",-31,-8,415,644,0,0,3000,0
"1700",-379,-1285,714,2511,0,0,0,500
"1800",-1452,-1163,798,1556,-1500,-14350,1500,5350
"1900",-820,-788,351,269,-500,-370,0,0
"2000",-809,-1175,0,5,-3000,0,0,0
"2100",-484,-1101,0,0,-4500,-1500,0,0
"2200",-658,-310,0,0,-100,0,0,0
"2300",-1317,-591,0,0,-100,-383,0,0
"2400",-533,-222,0,0,-5000,-2750,0,0
"2500",-508,-1063,0,0,-2800,-300,0,0
"2600",-113,-124,0,0,0,0,0,0
"2700",-29,-129,0,0,0,0,0,0
"2800",-6,-155,0,0,0,0,0,0
"3000",-20,-136,0,0,0,0,0,0
"3200",-2,-26,0,0,0,0,0,0
"3400",-50,-328,0,0,0,0,0,0
"3600",-19,-143,0,0,0,0,0,0
