"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"5000",0,0,10,0,0,0,0,0
"10000",0,0,2,190,0,0,0,0
"12000",0,0,1,22.9,0,0,0,0
"14000",0,0,0,30.5,0,0,0,0
"15000",0,0,4.6,15.3,0,0,0,0
"16000",0,0,39.7,71.8,0,0,25,0
"17000",0,0,26.1,2,0,0,25,0
"18000",0,0,17,61.6,0,0,711,50
"19000",0,0,27.8,44.7,0,0,0,100
"20000",-0.2,0,394.6,204.3,0,0,50,511
"21000",0,-11,191.7,53.7,0,0,0,0
"22000",-3,-3.5,326.4,622.6,0,0,37.5,50
"23000",-2,-0.5,192.3,208,-187.5,0,275,25
"24000",0,-1.6,198.2,252,-900,0,0,120
"25000",-27.8,-18.7,427.5,289.7,-300,0,611,428
"26000",-2.5,-18,531.9,200.7,-375,0,145,1655
"27000",-240.8,-279.2,267.8,312.4,-75,-323,170,379
"28000",-337.5,-376.1,218.7,241.8,-300,-440,50,70
"29000",-384.1,-250.9,138.9,176.5,-168,-445,0,0
"30000",-385.7,-377.5,22.7,6.2,-1685,-150,0,0
"31000",-315.2,-202.9,0,0,-150,-250,0,0
"32000",-779.9,-642.3,0,0,-975,-182.5,0,0
"34000",-235,-254.3,0,0,-600,-755,0,0
"35000",-309,-320.1,0,0,-325,-458,0,0
"36000",-159,-227.9,0,0,-50,-300,0,0
"38000",-119.8,-89.2,0.2,0,0,-175,0,0
"40000",-188.9,-239.6,0,0,0,-250,0,0
"45000",-28.5,-44.2,0,12,0,0,0,0
"50000",-2.4,-1.9,0.6,0,0,0,0,0
