"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"600",0,0,437,311,0,0,0,0
"700",0,0,330,883,0,0,0,0
"800",0,0,1349,552,0,0,0,0
"900",0,0,3484,2001,0,0,0,307
"1000",0,0,2428,3604,0,0,0,250
"1100",0,0,2191,1081,0,0,0,0
"1200",-203,-10,3274,3472,0,0,6050,500
"1300",-1663,-1449,3818,4035,0,0,1514,1500
"1400",-1371,-1018,6169,6665,0,0,2807,37050
"1500",-3470,-1468,4772,4299,0,-5250,0,8500
"1600",-3116,-2700,5057,4486,-17000,-15125,0,125
"1700",-11947,-6612,1294,2018,-30300,-2664,0,1000
"1800",-7386,-10747,1927,600,-27874,-28100,0,250
"1900",-4685,-4646,27,22,-5000,0,0,0
"2000",-6751,-10618,2,0,-18200,0,0,0
"2100",-2347,-3336,0,0,-5000,-1300,0,0
"2200",-1779,-1728,0,1,-300,0,0,0
"2300",-3720,-1833,0,0,-518,0,0,0
"2400",-377,-330,0,0,0,0,0,0
"2500",-1186,-1578,0,0,0,-1500,0,0
"2600",-372,-400,0,0,0,0,0,0
"2800",-250,-180,0,0,0,0,0,0
"3000",-307,-398,0,0,0,0,0,0
"3200",-214,-5,0,0,0,0,0,0
"3400",-50,-106,0,0,0,0,0,0
"3600",-1,-45,0,0,0,0,0,0
